"","Year","district","flat_type","avg_price_per_sqm"
"392",1996,"D12","5-RM",3685.99382003169
"393",1996,"D12","EXEC",4040.34407376348
"394",1996,"D14","2-RM",1866.60029305624
"395",1996,"D14","3-RM",2574.91829422766
"396",1996,"D14","4-RM",3222.25672376625
"397",1996,"D14","5-RM",3736.84339409638
"398",1996,"D14","EXEC",3864.5216807588
"399",1996,"D16","2-RM",2100.76085345146
"400",1996,"D16","3-RM",2619.23885610527
"401",1996,"D16","4-RM",3169.64806178062
"402",1996,"D16","5-RM",3721.34341368481
"403",1996,"D16","EXEC",3803.0564399916
"404",1996,"D18","3-RM",2644.0457110797
"405",1996,"D18","4-RM",3202.30005216359
"406",1996,"D18","5-RM",3617.33057306865
"407",1996,"D18","EXEC",4061.98115701064
"408",1996,"D19","3-RM",2496.70046431198
"409",1996,"D19","4-RM",2950.18645403951
"410",1996,"D19","5-RM",3451.41699522634
"411",1996,"D19","EXEC",3827.15733663274
"412",1996,"D20","1-RM",2525.36151279199
"413",1996,"D20","2-RM",2179.71014492754
"414",1996,"D20","3-RM",2640.78444711522
"415",1996,"D20","4-RM",3551.28232026647
"416",1996,"D20","5-RM",4119.96141983152
"417",1996,"D20","EXEC",4443.27956307652
"418",1996,"D22","3-RM",2208.2895202145
"419",1996,"D22","4-RM",2689.44034634148
"420",1996,"D22","5-RM",3088.3462836465
"421",1996,"D22","EXEC",3367.10546766323
"422",1996,"D23","3-RM",2302.03239682699
"423",1996,"D23","4-RM",2758.16935477216
"424",1996,"D23","5-RM",3187.2097876577
"425",1996,"D23","EXEC",3610.73784008733
"426",1996,"D24","3-RM",1393.48448162007
"427",1996,"D24","4-RM",1608.43373493976
"428",1996,"D25","3-RM",2050.13663430259
"429",1996,"D25","4-RM",2529.21082662914
"430",1996,"D25","5-RM",2894.35021753925
"431",1996,"D25","EXEC",3677.58876219986
"432",1996,"D27","3-RM",2393.47997637112
"433",1996,"D27","4-RM",2804.25254401682
"434",1996,"D27","5-RM",3359.40866844964
"435",1996,"D27","EXEC",3737.94306054363
"436",1996,"D3","1-RM",1679.78578981545
"437",1996,"D3","2-RM",1843.1340331632
"438",1996,"D3","3-RM",2636.13983245886
"439",1996,"D3","4-RM",3519.87592489607
"440",1996,"D3","5-RM",4116.02321020416
"441",1996,"D3","EXEC",4788.7323943662
"442",1996,"D5","3-RM",2661.11215590569
"443",1996,"D5","4-RM",3419.16702405503
"444",1996,"D5","5-RM",3979.61770392401
"445",1996,"D5","EXEC",3988.7552208715
"446",1997,"D1","2-RM",2491.3429300428
"447",1997,"D1","3-RM",3420.58616989537
"448",1997,"D1","4-RM",4046.87290546946
"449",1997,"D1","5-RM",3897.85997289125
"450",1997,"D10","3-RM",2975.65979983743
"451",1997,"D10","4-RM",3671.00562480997
"452",1997,"D10","5-RM",4267.7709919969
"453",1997,"D10","EXEC",4416.0566464354
"454",1997,"D12","2-RM",2911.15288220551
"455",1997,"D12","3-RM",3024.0436428717
"456",1997,"D12","4-RM",3337.10062766204
"457",1997,"D12","5-RM",3694.88977651285
"458",1997,"D12","EXEC",3919.63438812279
"459",1997,"D14","2-RM",2352.58629057282
"460",1997,"D14","3-RM",2931.7200272694
"461",1997,"D14","4-RM",3377.48076872768
"462",1997,"D14","5-RM",3810.62448084339
"463",1997,"D14","EXEC",3801.81443434768
"464",1997,"D16","2-RM",2677.40258325552
"465",1997,"D16","3-RM",2990.0708924347
"466",1997,"D16","4-RM",3310.97739755394
"467",1997,"D16","5-RM",3763.18372486068
"468",1997,"D16","EXEC",3906.83218788601
"469",1997,"D18","3-RM",2938.78277233443
"470",1997,"D18","4-RM",3299.10508692383
"471",1997,"D18","5-RM",3575.11499521922
"472",1997,"D18","EXEC",4010.21402840908
"473",1997,"D19","3-RM",2753.01441707556
"474",1997,"D19","4-RM",3095.94488683633
"475",1997,"D19","5-RM",3497.82455616851
"476",1997,"D19","EXEC",3808.18588181031
"477",1997,"D20","1-RM",3579.79626485569
"478",1997,"D20","2-RM",2588.51851851852
"479",1997,"D20","3-RM",2987.54502551893
"480",1997,"D20","4-RM",3630.71407471458
"481",1997,"D20","5-RM",4097.8561577081
"482",1997,"D20","EXEC",4357.5208042265
"483",1997,"D22","3-RM",2420.32237229441
"484",1997,"D22","4-RM",2775.5647827432
"485",1997,"D22","5-RM",3134.44047522814
"486",1997,"D22","EXEC",3375.86810174609
"487",1997,"D23","3-RM",2540.43967823305
"488",1997,"D23","4-RM",2868.29145882294
"489",1997,"D23","5-RM",3234.88933688202
"490",1997,"D23","EXEC",3595.07333146536
"491",1997,"D24","3-RM",1416.18240516546
"492",1997,"D24","4-RM",1807.22891566265
"493",1997,"D25","3-RM",2304.10879985355
"494",1997,"D25","4-RM",2670.51955493712
"495",1997,"D25","5-RM",2914.9750798574
"496",1997,"D25","EXEC",3431.93530422125
"497",1997,"D27","3-RM",2695.95203823182
"498",1997,"D27","4-RM",2903.99971014486
"499",1997,"D27","5-RM",3325.9795980226
"500",1997,"D27","EXEC",3665.84336477367
"501",1997,"D3","1-RM",2151.41725316916
"502",1997,"D3","2-RM",2292.49122943507
"503",1997,"D3","3-RM",3052.67152284248
"504",1997,"D3","4-RM",3760.29198170027
"505",1997,"D3","5-RM",4186.3220342494
"506",1997,"D3","EXEC",3948.6301369863
"507",1997,"D5","3-RM",2971.75248253275
"508",1997,"D5","4-RM",3483.92533262646
"509",1997,"D5","5-RM",3996.43915309083
"510",1997,"D5","EXEC",4077.35175093269
"511",1998,"D1","2-RM",2042.59755871535
"512",1998,"D1","3-RM",2832.62603540702
"513",1998,"D1","4-RM",3352.2096126853
"514",1998,"D1","5-RM",3173.21850019322
"515",1998,"D10","3-RM",2377.42269490007
"516",1998,"D10","4-RM",3073.43648917452
"517",1998,"D10","5-RM",3572.50301963001
"518",1998,"D10","EXEC",3752.09949939645
"519",1998,"D12","2-RM",2137.29613385315
"520",1998,"D12","3-RM",2376.59775551913
"521",1998,"D12","4-RM",2803.62291348579
"522",1998,"D12","5-RM",3239.87369710828
"523",1998,"D12","EXEC",3518.73128678385
"524",1998,"D14","2-RM",1782.30690975949
"525",1998,"D14","3-RM",2356.72608420136
"526",1998,"D14","4-RM",2843.86985963226
"527",1998,"D14","5-RM",3270.68100474271
"528",1998,"D14","EXEC",3368.10376456408
"529",1998,"D16","2-RM",2050.42785890271
"530",1998,"D16","3-RM",2359.07855523516
"531",1998,"D16","4-RM",2735.50977834022
"532",1998,"D16","5-RM",3132.08819536786
"533",1998,"D16","EXEC",3437.80857508986
