Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,910000,11 to 15,2022-05,764,1191
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1700000,16 to 20,2022-05,1528,1112
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,985000,11 to 15,2022-05,883,1116
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,983000,11 to 15,2022-05,904,1087
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1245000,01 to 05,2022-05,1055,1180
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,868888,01 to 05,2022-05,775,1121
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1040000,06 to 10,2022-05,904,1150
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1050000,01 to 05,2022-05,926,1134
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1320000,06 to 10,2022-05,1130,1168
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1256000,11 to 15,2022-05,1098,1144
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1161000,11 to 15,2022-05,1023,1135
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1318888,11 to 15,2022-05,1033,1276
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,765000,01 to 05,2022-05,743,1030
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,865000,01 to 05,2022-05,775,1116
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1550000,06 to 10,2022-05,1410,1099
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1125000,01 to 05,2022-05,1023,1100
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1275000,16 to 20,2022-05,1076,1185
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,860000,01 to 05,2022-05,753,1141
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1600000,11 to 15,2022-05,1367,1170
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,928000,06 to 10,2022-05,753,1232
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,980000,01 to 05,2022-05,1195,820
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1500000,11 to 15,2022-05,1270,1181
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1250000,01 to 05,2022-05,1163,1075
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1790000,01 to 05,2022-05,1528,1171
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1420000,11 to 15,2022-05,1141,1245
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1480000,06 to 10,2022-05,1270,1165
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1690000,06 to 10,2022-05,1302,1298
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1520000,01 to 05,2022-05,1367,1112
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,873888,11 to 15,2022-05,764,1143
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1280000,06 to 10,2022-05,1044,1226
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,960000,11 to 15,2022-05,764,1256
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1290000,06 to 10,2022-05,1109,1164
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1050000,16 to 20,2022-05,915,1148
ARC AT TAMPINES,TAMPINES AVENUE 8,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1290000,11 to 15,2022-05,1173,1099
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,1188000,01 to 05,2022-05,1593,746
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1290000,01 to 05,2022-05,1130,1141
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1520000,01 to 05,2022-05,1442,1054
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1400000,01 to 05,2022-05,1281,1093
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,930000,11 to 15,2022-05,753,1234
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1788000,01 to 05,2022-05,1518,1178
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1280000,01 to 05,2022-05,1238,1034
NUOVO,ANG MO KIO AVENUE 9,Executive Condominium,D20,OCR,99 yrs lease commencing from 2001,1480000,01 to 05,2022-05,1421,1042
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1420000,06 to 10,2022-05,1281,1109
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1400000,11 to 15,2022-05,1216,1151
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1280000,01 to 05,2022-05,1281,999
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1428000,16 to 20,2022-05,1281,1115
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1075000,16 to 20,2022-05,883,1218
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1160000,06 to 10,2022-05,1033,1123
PINEVALE,TAMPINES STREET 73,Executive Condominium,D18,OCR,99 yrs lease commencing from 1997,1200000,11 to 15,2022-05,1292,929
THE VALES,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2014,1020000,06 to 10,2022-05,915,1115
BELLEWATERS,ANCHORVALE CRESCENT,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1160000,06 to 10,2022-05,926,1253
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1520000,11 to 15,2022-05,1302,1167
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1238000,11 to 15,2022-05,1055,1174
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1450000,11 to 15,2022-04,1238,1171
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1160000,01 to 05,2022-04,1001,1159
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,980000,01 to 05,2022-04,1141,859
PARK GREEN,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2001,1300000,06 to 10,2022-04,1367,951
NUOVO,ANG MO KIO AVENUE 9,Executive Condominium,D20,OCR,99 yrs lease commencing from 2001,1350000,11 to 15,2022-04,1281,1054
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1560000,11 to 15,2022-04,1367,1141
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1140000,01 to 05,2022-04,1098,1038
PARK GREEN,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2001,1388888,11 to 15,2022-04,1367,1016
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1290000,11 to 15,2022-04,1733,744
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,958000,06 to 10,2022-04,958,1000
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1055000,06 to 10,2022-04,1141,925
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1300000,06 to 10,2022-04,1109,1173
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,930000,06 to 10,2022-04,969,960
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1100000,06 to 10,2022-04,990,1111
NUOVO,ANG MO KIO AVENUE 9,Executive Condominium,D20,OCR,99 yrs lease commencing from 2001,2128000,16 to 20,2022-04,2443,871
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1500000,01 to 05,2022-04,1270,1181
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1491000,06 to 10,2022-04,1389,1074
THE RIVERVALE,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1250000,06 to 10,2022-04,1292,968
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1100000,11 to 15,2022-04,1259,873
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1038000,01 to 05,2022-04,1033,1005
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1050000,11 to 15,2022-04,872,1204
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,880000,01 to 05,2022-04,969,908
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,1290000,01 to 05,2022-04,1561,827
ARC AT TAMPINES,TAMPINES AVENUE 8,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1180000,01 to 05,2022-04,1152,1025
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1650000,16 to 20,2022-04,1346,1226
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1280000,01 to 05,2022-04,1098,1166
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1150000,01 to 05,2022-04,1238,929
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,973888,11 to 15,2022-04,786,1239
NUOVO,ANG MO KIO AVENUE 9,Executive Condominium,D20,OCR,99 yrs lease commencing from 2001,1500000,01 to 05,2022-04,1389,1080
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1040000,01 to 05,2022-04,1033,1006
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1683000,06 to 10,2022-04,1378,1221
ARC AT TAMPINES,TAMPINES AVENUE 8,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1295000,11 to 15,2022-04,1152,1124
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1360000,01 to 05,2022-04,1346,1011
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1060000,06 to 10,2022-04,872,1216
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1410000,11 to 15,2022-04,1755,804
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1150000,01 to 05,2022-04,1044,1101
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1308000,01 to 05,2022-04,1109,1180
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1300088,11 to 15,2022-04,1227,1059
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,855000,01 to 05,2022-04,969,883
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1480000,06 to 10,2022-04,1302,1136
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1360000,01 to 05,2022-04,1356,1003
EASTVALE,PASIR RIS DRIVE 3,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,1030000,01 to 05,2022-04,1270,811
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1720000,11 to 15,2022-04,1378,1248
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1408000,06 to 10,2022-04,1216,1158
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1270000,11 to 15,2022-04,1109,1145
BELYSA,PASIR RIS DRIVE 1,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,970000,01 to 05,2022-04,893,1086
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1200000,11 to 15,2022-04,1076,1115
BELYSA,PASIR RIS DRIVE 1,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1080000,11 to 15,2022-04,1033,1045
THE RIVERVALE,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1090000,01 to 05,2022-04,1302,837
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1380000,01 to 05,2022-04,1141,1209
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1350000,01 to 05,2022-04,1195,1130
BELYSA,PASIR RIS DRIVE 1,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1500000,11 to 15,2022-04,1421,1056
PINEVALE,TAMPINES STREET 73,Executive Condominium,D18,OCR,99 yrs lease commencing from 1997,1038000,01 to 05,2022-04,1292,804
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1080000,06 to 10,2022-04,1023,1056
THE RIVERVALE,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1050000,06 to 10,2022-04,1292,813
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1298888,11 to 15,2022-04,1001,1298
ESPARINA RESIDENCES,COMPASSVALE BOW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1106888,16 to 20,2022-04,829,1335
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,980000,06 to 10,2022-04,1195,820
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1291000,06 to 10,2022-04,1001,1290
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1288000,01 to 05,2022-04,1119,1151
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1.00E+06,01 to 05,2022-04,1195,837
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1685000,01 to 05,2022-04,1496,1126
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1255000,11 to 15,2022-04,1055,1190
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1320000,06 to 10,2022-04,1098,1202
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1210000,06 to 10,2022-04,1055,1147
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1520000,01 to 05,2022-04,1346,1130
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1570000,06 to 10,2022-04,1378,1140
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1300000,06 to 10,2022-04,1119,1161
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1318000,06 to 10,2022-04,1227,1074
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1560000,11 to 15,2022-04,1302,1198
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,862000,11 to 15,2022-04,775,1112
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1700000,01 to 05,2022-04,1582,1074
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1880000,11 to 15,2022-04,1668,1127
ESPARINA RESIDENCES,COMPASSVALE BOW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1482000,11 to 15,2022-04,1163,1275
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1650000,16 to 20,2022-04,2067,798
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1212000,06 to 10,2022-04,1098,1104
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,Executive Condominium,D18,OCR,99 yrs lease commencing from 1996,868000,01 to 05,2022-04,969,896
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,925000,06 to 10,2022-04,958,966
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1391800,11 to 15,2022-04,1216,1144
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,888000,01 to 05,2022-04,915,971
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1328000,06 to 10,2022-04,1119,1186
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1150000,11 to 15,2022-03,990,1161
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,905000,06 to 10,2022-03,958,945
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1700000,11 to 15,2022-03,1475,1153
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1420000,01 to 05,2022-03,1259,1128
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1100000,11 to 15,2022-03,1033,1064
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1650000,01 to 05,2022-03,1615,1022
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1080000,01 to 05,2022-03,1141,947
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1330000,06 to 10,2022-03,1130,1177
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1150000,06 to 10,2022-03,1109,1037
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1438000,06 to 10,2022-03,1259,1142
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1460000,01 to 05,2022-03,1485,983
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1360000,06 to 10,2022-03,1216,1118
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1430000,06 to 10,2022-03,1335,1071
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1346000,16 to 20,2022-03,1227,1097
ESPARINA RESIDENCES,COMPASSVALE BOW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1682888,16 to 20,2022-03,1679,1002
WATERBAY,EDGEFIELD PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1268000,11 to 15,2022-03,1141,1111
BELYSA,PASIR RIS DRIVE 1,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1070000,01 to 05,2022-03,969,1105
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1270000,06 to 10,2022-03,1098,1157
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1018000,06 to 10,2022-03,1195,852
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1270000,11 to 15,2022-03,1098,1157
THE FLORIDA,HOUGANG AVENUE 7,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1600000,16 to 20,2022-03,1991,804
THE RIVERVALE,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1080000,01 to 05,2022-03,1367,790
TWIN WATERFALLS,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2011,1060000,11 to 15,2022-03,915,1159
WATERCOLOURS,PASIR RIS LINK,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1200000,01 to 05,2022-03,1238,969
HERON BAY,UPPER SERANGOON VIEW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1160000,06 to 10,2022-03,1023,1134
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1400000,01 to 05,2022-03,1335,1049
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1390000,01 to 05,2022-03,1227,1133
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1320000,11 to 15,2022-03,1001,1319
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,810000,01 to 05,2022-03,829,977
ARC AT TAMPINES,TAMPINES AVENUE 8,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1225000,11 to 15,2022-03,1152,1064
ARC AT TAMPINES,TAMPINES AVENUE 8,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1570000,06 to 10,2022-03,1421,1105
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,860000,06 to 10,2022-03,775,1110
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1328000,01 to 05,2022-03,1227,1082
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1357000,01 to 05,2022-03,1184,1146
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1490000,11 to 15,2022-03,1227,1214
RIVERPARC RESIDENCE,PUNGGOL DRIVE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1060000,01 to 05,2022-03,1076,985
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,Executive Condominium,D18,OCR,99 yrs lease commencing from 2012,1395000,06 to 10,2022-03,1163,1200
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1050000,06 to 10,2022-03,1023,1027
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1100000,11 to 15,2022-03,1152,955
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1250000,01 to 05,2022-03,1087,1150
THE AMORE,EDGEDALE PLAINS,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1120000,06 to 10,2022-03,990,1131
WHITEWATER,PASIR RIS STREET 72,Executive Condominium,D18,OCR,99 yrs lease commencing from 2002,1.00E+06,11 to 15,2022-03,1152,868
BELYSA,PASIR RIS DRIVE 1,Executive Condominium,D18,OCR,99 yrs lease commencing from 2011,1090000,16 to 20,2022-03,1033,1055
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1335000,11 to 15,2022-03,1141,1170
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1508888,06 to 10,2022-03,1399,1078
ESPARINA RESIDENCES,COMPASSVALE BOW,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1068000,11 to 15,2022-03,829,1289
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1100000,06 to 10,2022-03,1044,1054
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1450000,01 to 05,2022-03,1249,1161
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1400000,01 to 05,2022-03,1216,1151
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1100000,01 to 05,2022-03,1152,955
ECOPOLITAN,PUNGGOL WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2012,1250000,01 to 05,2022-03,1141,1096
SEA HORIZON,PASIR RIS RISE,Executive Condominium,D18,OCR,99 yrs lease commencing from 2013,1608000,11 to 15,2022-03,1281,1255
THE RIVERVALE,RIVERVALE LINK,Executive Condominium,D19,OCR,99 yrs lease commencing from 1997,1080000,01 to 05,2022-03,1313,822
WATERWOODS,PUNGGOL FIELD WALK,Executive Condominium,D19,OCR,99 yrs lease commencing from 2013,1112000,06 to 10,2022-03,1033,1076
PRIVE,PUNGGOL FIELD,Executive Condominium,D19,OCR,99 yrs lease commencing from 2010,1255000,11 to 15,2022-03,1055,1190
