Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,D27,OCR,99 yrs lease commencing from 1991,1030000,06 to 10,2021-11,1249,825
SKIES MILTONIA,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2012,820000,01 to 05,2021-11,743,1104
NORTHWOOD,JALAN MATA AYER,Condominium,D27,OCR,Freehold,1555888,01 to 05,2021-11,1335,1166
YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 1998,995000,11 to 15,2021-11,1184,840
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2010,980000,01 to 05,2021-11,1001,979
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1180000,01 to 05,2021-11,1023,1154
H2O RESIDENCES,FERNVALE LINK,Condominium,D28,OCR,99 yrs lease commencing from 2010,925000,16 to 20,2021-11,883,1048
THE ESTUARY,YISHUN AVENUE 1,Condominium,D27,OCR,99 yrs lease commencing from 2008,1020000,11 to 15,2021-11,926,1102
THE WISTERIA,YISHUN RING ROAD,Apartment,D27,OCR,99 yrs lease commencing from 2015,858000,01 to 05,2021-11,710,1208
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,1195000,11 to 15,2021-11,947,1262
D'BANYAN,JALAN SENDUDOK,Apartment,D27,OCR,999 yrs lease commencing from 1885,640000,01 to 05,2021-11,570,1122
SUNRISE GARDENS,SUNRISE AVENUE,Condominium,D28,OCR,99 yrs lease commencing from 1995,950000,01 to 05,2021-11,990,959
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,1190000,06 to 10,2021-11,1012,1176
THE NAUTICAL,JALAN SENDUDOK,Condominium,D27,OCR,99 yrs lease commencing from 2011,920000,01 to 05,2021-11,829,1110
PARC BOTANNIA,FERNVALE STREET,Condominium,D28,OCR,99 yrs lease commencing from 2016,680000,21 to 25,2021-11,431,1579
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,D28,OCR,99 yrs lease commencing from 2013,645000,01 to 05,2021-11,506,1275
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1270000,11 to 15,2021-11,1023,1242
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,910000,01 to 05,2021-11,743,1225
SELETAR PARK RESIDENCE,SELETAR ROAD,Condominium,D28,OCR,99 yrs lease commencing from 2011,7.00E+05,01 to 05,2021-11,581,1204
PARC BOTANNIA,FERNVALE STREET,Condominium,D28,OCR,99 yrs lease commencing from 2016,1720000,01 to 05,2021-11,1249,1378
SKIES MILTONIA,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2012,1400000,06 to 10,2021-11,1313,1066
SUN PLAZA,SEMBAWANG DRIVE,Apartment,D27,OCR,99 yrs lease commencing from 1996,976000,06 to 10,2021-11,1313,743
THE ESTUARY,YISHUN AVENUE 1,Condominium,D27,OCR,99 yrs lease commencing from 2008,650000,01 to 05,2021-11,689,944
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,845000,01 to 05,2021-11,570,1481
THE NAUTICAL,JALAN SENDUDOK,Condominium,D27,OCR,99 yrs lease commencing from 2011,795000,01 to 05,2021-11,764,1040
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,865000,16 to 20,2021-11,689,1256
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,918000,06 to 10,2021-11,947,969
YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 1998,1200000,06 to 10,2021-11,1378,871
NORTHWOOD,JALAN MATA AYER,Condominium,D27,OCR,Freehold,1496888,01 to 05,2021-11,1335,1122
PARC BOTANNIA,FERNVALE STREET,Condominium,D28,OCR,99 yrs lease commencing from 2016,710000,06 to 10,2021-11,506,1403
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2010,1350000,01 to 05,2021-11,1507,896
TEACHER'S HOUSING ESTATE,KALIDASA AVENUE,Apartment,D26,OCR,999 yrs lease commencing from 1885,1160000,01 to 05,2021-11,1195,971
THE WISTERIA,YISHUN RING ROAD,Apartment,D27,OCR,99 yrs lease commencing from 2015,635000,11 to 15,2021-11,441,1439
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,924000,01 to 05,2021-11,947,975
YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 1998,990000,06 to 10,2021-11,1206,821
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,D28,OCR,99 yrs lease commencing from 1997,1280000,01 to 05,2021-11,1582,809
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,D28,OCR,99 yrs lease commencing from 1997,1085000,01 to 05,2021-11,1335,813
YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 1998,1128000,11 to 15,2021-11,1335,845
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,1250000,01 to 05,2021-11,1044,1197
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,D27,OCR,99 yrs lease commencing from 1991,1375088,11 to 15,2021-11,1668,824
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,D27,OCR,99 yrs lease commencing from 2015,1528000,11 to 15,2021-11,969,1577
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,D27,OCR,99 yrs lease commencing from 2015,1700000,06 to 10,2021-11,1098,1548
THE NAUTICAL,JALAN SENDUDOK,Condominium,D27,OCR,99 yrs lease commencing from 2011,950000,01 to 05,2021-11,883,1076
SUNRISE GARDENS,SUNRISE AVENUE,Condominium,D28,OCR,99 yrs lease commencing from 1995,1120000,01 to 05,2021-11,1442,776
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,640000,11 to 15,2021-11,495,1293
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,1650000,01 to 05,2021-11,1572,1050
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,860000,01 to 05,2021-11,904,951
