Property.Name.,District.,Property.Type.,Model.,Asking.,Predicted.Rent.,Area.Builtup,PSF.,Bedrooms.,Bedrooms.Additional,Floor.Description,Floor.,Area.Land,PSF_land.,Address.,PostalCode,Developer.,Bathrooms.,Built.Year.,Tenure.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,No..of.Units.,lon,lat,is_HDB
Admiralty Drive,NA,HDB 5 Rooms,Improved,458000,2065.593109,1194.7929,383,3,1,NA,NA,NA,NA,359A Admiralty Drive (751359),751359,NA,NA,2001,LEASEHOLD/99 years,"Corner Unit, Original Condition, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","SEMBAWANG MRT 6 mins  NS11 490m, CANBERRA U+C (NS12) 20 mins  NS12 1.64 km, ADMIRALTY MRT 24 mins  NS10 1.92 km","Bet Blks 357/359 1 min  859859A 90m, Blk 474 1 min  859859B 150m, Blk 358A CP 2 mins  858858A 170m","Canberra Primary 190m, Endeavour Primary 540m, Wellington Primary 790m","Canberra Secondary 420m, Sembawang Secondary 510m, Admiralty Secondary 1.52 km","Sun Plaza 470m, SEMBAWANG SHOPPING CENTRE 1.35 km, ADMIRALTY PLACE 1.87 km",NA,NA, Sembawang ,NA,103.8155808,1.4496188,Yes
Jurong West Central 1,NA,HDB Executive,Apartment,650000,2616.069078,1582.2933,411,3,NA,NA,NA,NA,NA,694 Jurong West Central 1 (640694),640694,NA,NA,1998,LEASEHOLD/99 years,"Corner Unit, Air Conditioning","BOON LAY MRT 6 mins  EW27 520m, PIONEER MRT 15 mins  EW28 1.2 km, LAKESIDE MRT 19 mins  EW26 1.57 km","Blk 695 1 min  198174e157172174 90m, Opp Blk 695 1 min  172157174174e5N198NR5 130m, Blk 691A CP 2 mins  199405502242 160m","Boon Lay Garden Primary 680m, Westwood Primary 840m, West Grove Primary 870m","River Valley High 280m, Dunearn Secondary 350m, Boon Lay Secondary 560m","Jurong Point 360m, BOON LAY SHOPPING CENTRE 700m, PIONEER MALL 1.04 km",NA,River Valley High School 280m, Jurong West ,NA,103.7068805,1.3433982,Yes
Prive, D19 - Hougang / Punggol / Sengkang ,Condominium,Condominium,958000,1869.154845,1055,908,3,NA,HIGH,NA,NA,NA,33 Punggol Field (828817),828817,Punggol Field Ec Pte. Ltd.,3,2013,LEASEHOLD/99 years,"Corner Unit, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony, Bombshelter"," 3 mins   260m, COVE LRT 3 mins  PE1 270m,  6 mins   510m","Opp Blk 199C 1 min  34 100m, Aft Punggol Rd 1 min  8262 100m, Opp Blk 201A 1 min  6262A826N 100m","Edgefield Primary 390m, Punggol View Primary 480m, Punggol Green Primary 640m","Edgefield Secondary 280m, Punggol Secondary 530m, Compassvale Secondary 760m","WATERWAY POINT 640m, Rivervale Mall 990m, PUNGGOL PLAZA 1.22 km",NA,NA,NA,680,103.9043456,1.4009293,No
Shrewsbury Road, D11 - Newton / Novena ,Semi-Detached,Semi-detached,5600000,5341.803745,3500,1600,4,NA,GROUND,1,3591,1559,Shrewsbury Road,NA,NA,4,1990,FREEHOLD,"Park/greenery View, Renovated, Original Condition, Air Conditioning, Bathtub, Hairdryer, Cooker Hob/hood, Water Heater, Balcony, Maidsroom, Private Garden, Roof Terrace, Outdoor Patio, Walk-in-wardrobe","NOVENA MRT 9 mins  NS20 720m, FARRER PARK VIEW 9 mins  NE8 780m, LITTLE INDIA MRT 16 mins  DT12NE7 1.29 km","Opp Tan Tock Seng Hosp 1 min  124518518A21 80m, Natl Skin Ctr 1 min  21124 110m, Blk 41A 2 mins  141131 210m","St. Joseph's Institution Junior 420m, Farrer Park Primary 670m, Balestier Hill Primary 980m","Northlight 710m, Balestier Hill Secondary 930m, Bendemeer Secondary 1.47 km","VELOCITY @ NOVENA SQUARE 620m, Velocity@novena Square 630m, Square 2 630m",NA,NA,NA,NA,-83.080543,40.0263824,No
Artra, D3 - Alexandra / Commonwealth ,Apartment,Apartment,1525000,1488.029945,786,1940,2,NA,NA,NA,NA,NA,10 Alexandra View (158745),158745,NA,2,2021,LEASEHOLD/99 years,"Sea View, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony, Walk-in-wardrobe","REDHILL MRT 1 min  EW18 50m, TIONG BAHRU MRT 16 mins  EW17 1.28 km, QUEENSTOWN MRT 16 mins  EW19 1.28 km","Redhill Stn 1 min  14512013264323333A 70m, Opp Redhill Stn 1 min  323364120132145NR5 100m, Opp Tanglin View 2 mins  97012213918651 160m","Gan Eng Seng Primary 520m, Alexandra Primary 830m, Queenstown Primary 1.16 km","Crescent Girls' 370m, Queenstown Secondary 530m, Bukit Merah Secondary 620m","DAWSON PLACE 680m, VALLEY POINT SHOPPING CENTRE 1.2 km, Valley Point 1.2 km",Partially Furnished,NA,NA,NA,103.8166799,1.2900845,No
Brockhampton Drive, D19 - Hougang / Punggol / Sengkang ,Terrace,Inter Terrace,3200000,3981.835745,2800,1143,4,NA,NA,NA,1659,1928,Brockhampton Drive,NA,NA,4,NA,NA,"City View, Private Pool, Water Heater, Bathtub, Intercom, Cooker Hob/hood, Air Conditioning, Balcony, Bombshelter, Roof Terrace, Outdoor Patio, Private Garden","LORONG CHUAN MRT STATION 16 mins  CC14 1.31 km, ANG MO KIO MRT 18 mins  NS16 1.45 km, BISHAN MRT 23 mins  CC15NS17 1.86 km","Opp Brockhampton Dr 1 min  317 60m, Serangoon Gdn Sch 2 mins  317 210m, Opp Bloxhome Dr 2 mins  317 220m","Chij Our Lady Of Good Counsel 700m, Townsville Primary 720m, Da Qiao Primary 1.04 km","Chong Boon Secondary 240m, Deyi Secondary 910m, Peicai Secondary 1.23 km","MYVILLAGE AT SERANGOON GARDEN 650m, AMK HUB 1.48 km, Jubilee Square 1.7 km",Partially Furnished,"St. Joseph's Institution 1.4 km, Catholic High School 1.89 km",NA,NA,-96.3088319,30.6553977,No
Tamarind Road, D28 - Seletar / Yio Chu Kang ,Detached,Detached,7088888,7110.150045,5000,1418,5,NA,NA,NA,5201,1362,Tamarind Road,NA,NA,NA,NA,FREEHOLD,"Renovated, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Private Pool, Bathtub, Hairdryer, Jacuzzi, Outdoor Patio, Balcony, Walk-in-wardrobe, Bombshelter, Maidsroom, Private Garden","FERNVALE LRT 22 mins  SW5 1.78 km,  22 mins   1.78 km, THANGGAM LRT 23 mins  SW4 1.91 km","Serenity Pk 2 mins  861637070M854 200m, Opp TAS Receiving Stn 3 mins  163868547070M 240m","Fernvale Primary 1.51 km, Sengkang Green Primary 1.68 km",NA,"GREENWICH V 990m, THE SELETAR MALL 1.75 km",NA,NA,NA,NA,-81.5635258,24.6379868,No
Lilac Park, D28 - Seletar / Yio Chu Kang ,Semi-Detached,NA,4900000,7477.267065,5000,980,6,NA,NA,NA,4905,998,Mimosa Walk,NA,Singapore United Estates Pte Ltd(Bt Sembawang Estates Ltd),4,2003,999 years,"Air Conditioning, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater","YIO CHU KANG MRT 23 mins  NS15 1.89 km,  24 mins   1.92 km, FERNVALE LRT 24 mins  SW5 1.92 km",NA,"Da Qiao Primary 1.23 km, Fernvale Primary 1.6 km, Jing Shan Primary 1.62 km","Anderson Secondary 1.46 km, Serangoon Garden Secondary 1.68 km","GREENWICH V 1.02 km, THE SELETAR MALL 1.88 km, Djitsun Mall 1.91 km",NA,NA,NA,93,103.8615738,1.382716,No
Peakview Estate, D16 - Bedok / Upper East Coast ,Detached,Detached,8990000,7380.165305,4930,1824,6,NA,NA,NA,5812,1546,Jalan Pari Dedap,NA,NA,NA,2017,FREEHOLD,"Corner Unit, Swimming Pool View, Renovated, Park/greenery View, Bathtub, Water Heater, Air Conditioning, Cooker Hob/hood, Private Pool, Balcony, Garage, Outdoor Patio, Roof Terrace, Walk-in-wardrobe, Bombshelter, Maidsroom, Private Garden, Terrace","TANAH MERAH MRT 7 mins  EW4 580m, BEDOK RESERVOIR MRT 16 mins  DT30 1.28 km, BEDOK MRT 19 mins  EW5 1.57 km",NA,"St. Anthony's Canossian Primary 450m, Haig Girls' 890m, Bedok Green Primary 930m","Anglican High 110m, St. Anthony's Canossian Secondary 420m, Bedok View Secondary 770m","EAST VILLAGE 420m, BEDOK SHOPPING COMPLEX 630m, BEDOK POINT 1.31 km",NA,Temasek Junior College 1.58 km,NA,NA,103.9428984,1.3323083,No
D'Leedon, D10 - Tanglin / Holland / Bukit Timah ,Condominium,Condominium,2880000,3016.892045,1862,1547,3,NA,LOW,NA,NA,NA,15 Leedon Heights (266225),266225,Morganite Pte Ltd,3,2014,LEASEHOLD/99 years,"Multi-purpose Court, Restaurant/retail Space, Spa Pavilions, Lap Pool / Gym Pool, Play Areas, Clubhouses, Tennis Courts, Jacuzzis, Event Courts, Basketball Court, Bbq, Theme Gardens, Mini Race Track, Jogging Tracks, Fitness Areas, Gymnasium, Renovated, Park/greenery View, Corner Unit, Bathtub, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony, Maidsroom","FARRER ROAD MRT 7 mins  CC20 580m, HOLLAND VILLAGE MRT 10 mins  CC21 820m, TAN KAH KEE MRT DUE 2016 15 mins  DT8 1.21 km",NA,"Nanyang Primary 780m, Raffles Girls' Primary 1.63 km, New Town Primary 1.83 km","St. Margaret's Secondary 920m, Hwa Chong Institution 1.05 km, National Junior College 1.61 km","HOLLAND ROAD SHOPPING CENTRE 1.04 km, Holland Road Shopping Centre 1.04 km, CORONATION SHOPPING PLAZA 1.19 km",Partially Furnished,"Hwa Chong Institution 1.05 km, National Junior College 1.61 km",NA,1715,103.8029965,1.3157429,No
Jalan Jeruju, D27 - Sembawang / Yishun ,Semi-Detached,Semi-detached,5550000,9314.521605,6550,847,7,NA,NA,NA,5952,932,Jalan Jeruju,NA,NA,6,NA,999 years,"Corner Unit, Park/greenery View, Renovated, Bathtub, Air Conditioning, Intercom, Cooker Hob/hood, Water Heater, Maidsroom, Private Garden, Terrace, Outdoor Patio, Roof Terrace, Walk-in-wardrobe, Balcony, Garage","CANBERRA U+C (NS12) 5 mins  NS12 450m, SEMBAWANG MRT 13 mins  NS11 1.06 km, YISHUN MRT 21 mins  NS13 1.7 km","Aft Sembawang Shop Ctr 2 mins  856858858A859980167 170m, Opp Sembawang Shop Ctr 2 mins  167980856858859 200m","Sembawang Primary 660m, Wellington Primary 1.2 km, Ahmad Ibrahim Primary 1.23 km","Ahmad Ibrahim Secondary 760m, Sembawang Secondary 1.09 km, Yishun Secondary 1.55 km","SEMBAWANG SHOPPING CENTRE 120m, Sun Plaza 1.01 km, NORTHPOINT SHOPPING CENTRE 1.73 km",NA,NA,NA,NA,103.8253159,1.4414763,No
Commonwealth Avenue West,NA,HDB 5 Rooms,Standard,670000,2275.66723,1345.4875,498,3,NA,NA,NA,NA,NA,413 Commonwealth Avenue West (120413),120413,NA,NA,1978,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","CLEMENTI MRT 9 mins  EW23 790m, DOVER MRT 10 mins  EW22 820m","Blk 410 2 mins  521418318510510614796154165166NR5NR8 170m, Blk 365 2 mins  147105106154165166961831851452 170m","Pei Tong Primary 660m, Clementi Primary 1.02 km, Nan Hua Primary 1.42 km","New Town Secondary 340m, School Of Science And Technology, Singapore 380m, Nan Hua High 460m","CLEMENTI AVENUE 2 SHOPPING CENTRE 240m, THE CLEMENTI MALL 840m, THE STAR VISTA 1.99 km",NA,"Nus High School Of Mathematics And Science 570m, Anglo-chinese School (independent) 1.34 km", Clementi ,NA,103.7711893,1.3113665,Yes
Segar Road,NA,HDB 5 Rooms,Improved,370000,2050.533323,1184.029,313,3,NA,LOW,NA,NA,NA,465 Segar Road (670465),670465,NA,2,2002,LEASEHOLD/99 years,"Renovated, Corner Unit, Cooker Hob/hood, Air Conditioning, Water Heater, Bombshelter"," 4 mins   360m, SEGAR LRT 4 mins  BP11 370m,  4 mins   370m","BLK 457 2 mins  971E972BPS1922 170m, BLK 485 2 mins  922971E972972ABPS1 190m","Beacon Primary 380m, Greenridge Primary 580m, West Spring Primary 790m","Greenridge Secondary 580m, Zhenghua Secondary 850m, West Spring Secondary 1.41 km","FAJAR SHOPPING CENTRE 410m, GREENRIDGE SHOPPING CENTRE 760m, Bukit Panjang Plaza 1.24 km",Partially Furnished,NA, Bukit Panjang ,NA,103.7727737,1.38728,Yes
Bukit Batok West Avenue 6,NA,HDB 4 Rooms,Model A,450000,1955.398129,1119.4456,402,3,NA,HIGH,NA,NA,NA,107 Bukit Batok West Avenue 6 (650107),650107,NA,2,1984,LEASEHOLD/99 years,"Air Conditioning, Water Heater, Cooker Hob/hood, Bombshelter","BUKIT BATOK MRT 4 mins  NS2 350m, BUKIT GOMBAK MRT 17 mins  NS3 1.36 km, CHINESE GARDEN MRT 20 mins  EW25 1.64 km","Blk 109 1 min  176188188E188R941868 140m, Blk 102 1 min  173187189941 150m, Blk 185 2 mins  188188R176 170m","Princess Elizabeth Primary 640m, Bukit View Primary 770m, Yuhua Primary 840m","Bukit Batok Secondary 640m, Crest Secondary 660m, Bukit View Secondary 670m","West Mall 360m, IMM BUILDING 1.43 km, Imm 1.44 km",Partially Furnished,NA, Bukit Batok ,NA,103.7466146,1.3477922,Yes
Serangoon Garden Estate, D19 - Hougang / Punggol / Sengkang ,Detached,Detached,5700000,8899.807445,6000,950,5,1,NA,NA,4750,1199,Walmer Drive,NA,NA,5,2006,999 years,"Renovated, Air Conditioning, Cooker Hob/hood, Private Pool, Water Heater, Bathtub, Maidsroom, Private Garden, Outdoor Patio, Garage","LORONG CHUAN MRT STATION 18 mins  CC14 1.51 km, SERANGOON MRT 22 mins  CC13NE12 1.78 km, KOVAN MRT 24 mins  NE13 1.92 km","Opp Portchester Ave 2 mins  317 160m, Serangoon Gdn Circus 2 mins  31531773136 230m, Opp Trinity Meth Ch 2 mins  13673315317 230m","Zhonghua Primary 570m, Chij Our Lady Of Good Counsel 850m, Rosyth 1.21 km","Serangoon Garden Secondary 530m, Peicai Secondary 690m, Chong Boon Secondary 1.04 km","MYVILLAGE AT SERANGOON GARDEN 280m, ICB SHOPPING CENTRE 1.6 km, NEX 1.63 km",Partially Furnished,NA,NA,2133,103.8691,1.3653697,No
Choa Chu Kang Avenue 4,NA,HDB Executive,Executive Apartment,510000,2555.251275,1539.2377,331,4,NA,HIGH,NA,NA,NA,458 Choa Chu Kang Avenue 4 (680458),680458,NA,NA,2000,LEASEHOLD/99 years,"Renovated, Corner Unit, Cooker Hob/hood, Air Conditioning, Maidsroom","SOUTH VIEW LRT 13 mins  BP2 1.05 km,  13 mins   1.06 km, CHOA CHU KANG LRT 15 mins  BP1NS4 1.21 km","Blk 457 1 min  982E9833NNR3300 70m, Blk 464 1 min  975172 150m, Opp Concord Pr Sch 2 mins  300982E983 170m","Concord Primary 260m, Chua Chu Kang Primary 650m, South View Primary 1.21 km","Bukit Panjang Govt. High 530m, Kranji Secondary 1.45 km, Chua Chu Kang Secondary 1.85 km","SUNSHINE PLACE 340m, KEAT HONG SHOPPING CENTRE 930m, LOT ONE, SHOPPERS' MALL 1.26 km",NA,NA, Choa Chu Kang ,NA,103.736112,1.3782589,Yes
The Luxurie, D19 - Hougang / Punggol / Sengkang ,Condominium,Condominium,1220000,1808.375245,1012,1206,3,NA,HIGH,NA,NA,NA,23 Compassvale Road (544755),544755,Keppel Land Realty Pte Ltd,3,2015,LEASEHOLD/99 years,"Reflective Pool, Leisure Lounge, Fitness Station, The Runway, Children's Play Pool, Sun Deck, Hydro-fitness Pool, Hydro-therapy Pool, Water Curtain, Olympic-length Grand Pool, Side Gate, Children's Play Zone, Wellness Station, Wave Lounge, Guard House, Garden Court, Grand Enterance, Water Steps, Entertainment Pavilion With Jacuzzi, Leisure Pool, Jacuzzi, Dining Pavilion, Tennis Court, Clubhouse, Serenity Deck, Sculptural Slope, Swimming Pool View, Renovated, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Bombshelter, Balcony"," 2 mins   230m, SENGKANG MRT 2 mins  NE16STC 230m,  7 mins   620m","Opp Blk 223D 1 min  86878989e1022780 110m, Blk 223D 1 min  802737210286878989e 110m, Opp Blk 241 1 min  8989e102163163M27371965 150m","Seng Kang Primary 380m, Compassvale Primary 550m, Nan Chiau Primary 660m","Seng Kang Secondary 420m, Nan Chiau High 680m, Chij St. Joseph's Convent 720m","Compass Point 290m, COMPASS ONE 300m, Rivervale Plaza 780m",Fully Furnished,NA,NA,622,103.8963956,1.3890708,No
Kingsford Waterbay, D19 - Hougang / Punggol / Sengkang ,Apartment,Apartment,1368301,1454.837605,1023,1338,3,1,LOW,NA,NA,NA,74 Upper Serangoon View (533881),533881,Kingsford Property Developments Pte Ltd,2,NA,LEASEHOLD/99 years,"Renovated, Air Conditioning, Water Heater, Cooker Hob/hood"," 13 mins   1.04 km, KANGKAR LRT 14 mins  SE4 1.12 km, RANGGUNG LRT 14 mins  SE5 1.17 km",Opp S'goon Sec Sch 1 min  324 100m,"Chij Our Lady Of The Nativity 700m, Punggol Primary 1.07 km, North Vista Primary 1.25 km","Serangoon Secondary 180m, North Vista Secondary 870m, Holy Innocents' High 890m","THE MIDTOWN 1.05 km, Eastpoint Mall 1.13 km, Hougang Mall 1.13 km",Partially Furnished,NA,NA,1165,103.903133,1.3745991,No
Jurong West Street 65,NA,HDB Executive,Executive Apartment,560000,2295.370296,1356.2514,413,3,NA,HIGH,NA,NA,NA,671C Jurong West Street 65 (643671),643671,NA,NA,2002,LEASEHOLD/99 years,"Air Conditioning, Cooker Hob/hood, Water Heater, Balcony, Walk-in-wardrobe","BOON LAY MRT 9 mins  EW27 780m, PIONEER MRT 10 mins  EW28 810m","Blk 673C 1 min  99242193 140m, Blk 734 CP 2 mins  19324299 180m, Blk 670A 2 mins  243G258502193181181M 220m","West Grove Primary 270m, Westwood Primary 390m, Jurong West Primary 540m","Boon Lay Secondary 130m, River Valley High 860m, Pioneer Secondary 880m","PIONEER MALL 470m, GEK POH SHOPPING CENTRE 690m, Jurong Point 710m",NA,River Valley High School 860m, Jurong West ,NA,103.7014531,1.3440223,Yes
Compassvale Crescent,NA,HDB 5 Rooms,Improved,400000,2050.533323,1184.029,338,3,NA,LOW,NA,NA,NA,296B Compassvale Crescent (542296),542296,NA,2,2002,LEASEHOLD/99 years,"Air Conditioning, Bombshelter"," 4 mins   370m, COMPASSVALE LRT 5 mins  SE1 430m,  7 mins   630m",NA,"Compassvale Primary 390m, Punggol Green Primary 470m, Rivervale Primary 750m","Compassvale Secondary 180m, Edgefield Secondary 430m, Chij St. Joseph's Convent 740m","Compass Point 780m, COMPASS ONE 780m, Rivervale Mall 830m",Partially Furnished,NA, Sengkang ,NA,103.8991971,1.3977258,Yes
Beechwood Grove, D25 - Admiralty / Woodlands ,Detached,Detached,4000000,8898.590905,6000,667,6,NA,NA,NA,6135,651,Beechwood Grove,NA,NA,NA,2000,LEASEHOLD/99 years,"Renovated, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","MARSILING MRT 8 mins  NS8 710m, WOODLANDS MRT 18 mins  NS9TE2 1.47 km, KRANJI MRT 21 mins  NS7 1.74 km","Opp Fuchun Sec Sch 2 mins  912912M 200m, Fuchun Sec Sch 2 mins  912912M 220m","Fuchun Primary 380m, Marsiling Primary 900m, Si Ling Primary 1.11 km","Fuchun Secondary 400m, Marsiling Secondary 1.06 km, Singapore Sports 1.33 km","Causeway Point 1.36 km, VISTA POINT 1.87 km",NA,Singapore Sports School 1.33 km,NA,NA,0.2566763,50.7702969,No
Punggol Drive,NA,HDB 4 Rooms,Premium Apartment,499000,1853.383868,1044.0983,478,3,1,MID,NA,NA,NA,305D Punggol Drive (824305),824305,NA,2,2012,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Balcony, Bombshelter, Terrace"," 2 mins   190m, DAMAI LRT 2 mins  PE7 200m, PUNGGOL MRT 5 mins  NE17PTC 470m","BLK 604A 1 min  84 140m, Aft Punggol Dr 2 mins  84 160m, Bef Punggol Dr 2 mins  84 180m","Punggol View Primary 180m, Oasis Primary 480m, Edgefield Primary 630m","Punggol Secondary 470m, Edgefield Secondary 810m, Greendale Secondary 1.11 km","WATERWAY POINT 530m, PUNGGOL PLAZA 1.45 km, Rivervale Mall 1.52 km",Fully Furnished,NA, Punggol ,NA,103.9070653,1.4057338,Yes
The Interweave, D12 - Balestier / Toa Payoh ,Apartment,Apartment,1600000,1991.598405,1141,1402,3,NA,HIGH,NA,NA,NA,21 Kim Keat Road (328805),328805,Bs Tanjong Katong Pte Ltd,2,2014,FREEHOLD,"Swimming Pool, Lawn, Yoga Station, Gym, Pooldeck, Reading Corner, Bbq, Swimming Pool View, Original Condition, City View, Corner Unit, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony, Roof Terrace","TOA PAYOH MRT 13 mins  NS19 1.08 km, BOON KENG MRT 13 mins  NE9 1.11 km, NOVENA MRT 15 mins  NS20 1.25 km","Opp Jumbo Ind Bldg 1 min  21124125131139186 90m, Opp NKF 2 mins  18612412513113921 220m, Aft Pegu Rd 3 mins  14513013118621 250m","Hong Wen 640m, Balestier Hill Primary 980m, St. Joseph's Institution Junior 1.2 km","Northlight 750m, Bendemeer Secondary 860m, Balestier Hill Secondary 1.09 km","SHAW PLAZA - TWIN HEIGHTS 250m, ZHONGSHAN MALL 770m, Hdb Hub 920m",Partially Furnished,NA,NA,169,103.8532858,1.3254206,No
Kingsford Waterbay, D19 - Hougang / Punggol / Sengkang ,Apartment,Apartment,950000,964.1434654,678,1401,2,NA,NA,NA,NA,NA,74 Upper Serangoon View (533881),533881,Kingsford Property Developments Pte Ltd,NA,NA,LEASEHOLD/99 years,"Swimming Pool View, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony, Maidsroom"," 13 mins   1.04 km, KANGKAR LRT 14 mins  SE4 1.12 km, RANGGUNG LRT 14 mins  SE5 1.17 km",Opp S'goon Sec Sch 1 min  324 100m,"Chij Our Lady Of The Nativity 700m, Punggol Primary 1.07 km, North Vista Primary 1.25 km","Serangoon Secondary 180m, North Vista Secondary 870m, Holy Innocents' High 890m","THE MIDTOWN 1.05 km, Eastpoint Mall 1.13 km, Hougang Mall 1.13 km",NA,NA,NA,1165,103.903133,1.3745991,No
Lorong 8 Toa Payoh,NA,HDB 5 Rooms,Simplified,545000,1790.910784,1259.3763,433,3,NA,MID,NA,NA,NA,223 Lorong 8 Toa Payoh (310223),310223,NA,2,NA,LEASEHOLD/99 years,"Park/greenery View, Corner Unit, Air Conditioning, Air Conditioning","BRADDELL MRT 12 mins  NS18 1.01 km, TOA PAYOH MRT 16 mins  NS19 1.35 km, BISHAN MRT 17 mins  CC15NS17 1.37 km","First Toa Payoh Pr Sch 2 mins  238 180m, Bef Blk 221 2 mins  238 200m, Blk 219 2 mins  15515912993153105732813238 220m","First Toa Payoh Primary 110m, Pei Chun Public 440m, Guangyang Primary 840m","Beatty Secondary 400m, Guangyang Secondary 670m, Kuo Chuan Presbyterian Secondary 990m","Junction 8 1.27 km, JUNCTION 8 SHOPPING CENTRE 1.28 km, Hdb Hub 1.29 km",Partially Furnished,"Raffles Institution 1.18 km, St. Joseph's Institution 1.21 km, Catholic High School 1.91 km", Toa Payoh ,NA,103.8555498,1.3413048,Yes
Segar Road,NA,HDB 5 Rooms,Premium Apartment,418000,2050.470043,1184.029,353,3,NA,NA,NA,NA,NA,483 Segar Road (670483),670483,NA,NA,2002,LEASEHOLD/99 years,"Corner Unit, Original Condition, Air Conditioning, Water Heater"," 3 mins   300m, SEGAR LRT 3 mins  BP11 310m, FAJAR LRT 6 mins  BP10 490m","BLK 485 1 min  922971E972972ABPS1 90m, BLK 457 1 min  971E972BPS1922 100m","Beacon Primary 560m, Greenridge Primary 580m, West Spring Primary 680m","Greenridge Secondary 760m, Zhenghua Secondary 770m, West Spring Secondary 1.34 km","FAJAR SHOPPING CENTRE 540m, GREENRIDGE SHOPPING CENTRE 750m, Bukit Panjang Plaza 1.31 km",NA,NA, Bukit Panjang ,NA,103.772072,1.3888055,Yes
Clementi Avenue 6,NA,HDB 4 Rooms,Model A,540000,1863.560534,1054.8622,512,3,NA,HIGH,NA,NA,NA,204 Clementi Avenue 6 (120204),120204,NA,2,1984,LEASEHOLD/99 years,"Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Bombshelter",CLEMENTI MRT 8 mins  EW23 690m,"Blk 201 1 min  189185 60m, Blk 304 1 min  185189 90m, Blk 203 1 min  5218399105106106A173188963963R 130m","Nan Hua Primary 310m, Clementi Primary 580m, Pei Tong Primary 720m","Clementi Town Secondary 620m, Tanglin Secondary 1.34 km, School Of Science And Technology, Singapore 1.48 km","THE CLEMENTI MALL 690m, CLEMENTI AVENUE 2 SHOPPING CENTRE 1.19 km",Partially Furnished,Nus High School Of Mathematics And Science 1.75 km, Clementi ,NA,103.7631999,1.320908,Yes
Bukit Batok Street 21,NA,HDB 5 Rooms,Model A,488888,2215.828707,1302.4319,375,4,NA,NA,NA,NA,NA,216 Bukit Batok Street 21 (650216),650216,NA,2,1985,LEASEHOLD/99 years,"Corner Unit, Renovated, Water Heater, Air Conditioning, Cooker Hob/hood, Balcony","BUKIT BATOK MRT 6 mins  NS2 510m, BUKIT GOMBAK MRT 16 mins  NS3 1.33 km","Opp Blk 217 1 min  173 110m, Blk 217 1 min  173173A 120m, Blk 229 2 mins  174174e1771781061579903N506NR88526666B6177 200m","Bukit View Primary 100m, Keming Primary 360m, Lianhua Primary 800m","Bukit View Secondary 220m, Hillgrove Secondary 630m, Yusof Ishak Secondary 890m","West Mall 570m, IMM BUILDING 1.54 km, Imm 1.55 km",NA,NA, Bukit Batok ,NA,103.7534939,1.3471667,Yes
Alexis, D3 - Alexandra / Commonwealth ,Apartment,Apartment,1270000,1271.659145,635,2000,2,NA,HIGH,NA,NA,NA,356 Alexandra Road (159949),159949,Ec Prime Pte Ltd,2,2012,FREEHOLD,"Corner Unit, Air Conditioning, Cooker Hob/hood, Water Heater, Intercom","QUEENSTOWN MRT 5 mins  EW19 420m, REDHILL MRT 13 mins  EW18 1.05 km, COMMONWEALTH MRT 20 mins  EW20 1.62 km","Opp Lea Hin Hardware Fty 1 min  1953333A64120 20m, Lea Hin Hardware Fty 1 min  33120195 60m, Queens Condo 2 mins  51111186145970NR5195 200m","Queenstown Primary 540m, Gan Eng Seng Primary 1.1 km, New Town Primary 1.24 km","Queenstown Secondary 700m, Bukit Merah Secondary 870m, Crescent Girls' 1.16 km","Anchorpoint 380m, ANCHORPOINT SHOPPING CENTRE 380m, DAWSON PLACE 440m",Partially Furnished,NA,NA,293,103.8074033,1.29136,No
