District.,Property.Type.,Year,avg_psf
D14,HDB 2 Rooms,2013,542.2947693
D14,HDB 2 Rooms,2014,524.9095716
D14,HDB 2 Rooms,2015,496.8945862
D14,HDB 2 Rooms,2016,484.8619155
D14,HDB 2 Rooms,2017,463.5646311
D14,HDB 2 Rooms,2018,437.0220005
D14,HDB 2 Rooms,2019,411.8077973
D14,HDB 2 Rooms,2020,407.3265129
D14,HDB 2 Rooms,2021,485.4951959
D14,HDB 2 Rooms,2022,519.5098895
D14,HDB 3 Rooms,1990,60.31902907
D14,HDB 3 Rooms,1991,62.20534337
D14,HDB 3 Rooms,1992,67.47732561
D14,HDB 3 Rooms,1993,97.80937346
D14,HDB 3 Rooms,1994,132.3057341
D14,HDB 3 Rooms,1995,171.264125
D14,HDB 3 Rooms,1996,239.2179755
D14,HDB 3 Rooms,1997,272.3659617
D14,HDB 3 Rooms,1998,218.9472324
D14,HDB 3 Rooms,1999,199.9436668
D14,HDB 3 Rooms,2000,214.9956938
D14,HDB 3 Rooms,2001,195.9118941
D14,HDB 3 Rooms,2002,195.5216668
D14,HDB 3 Rooms,2003,220.0396588
D14,HDB 3 Rooms,2004,244.8548087
D14,HDB 3 Rooms,2005,242.5651504
D14,HDB 3 Rooms,2006,239.3971967
D14,HDB 3 Rooms,2007,262.8612354
D14,HDB 3 Rooms,2008,326.2603179
D14,HDB 3 Rooms,2009,359.8212668
D14,HDB 3 Rooms,2010,413.881599
D14,HDB 3 Rooms,2011,473.5346975
D14,HDB 3 Rooms,2012,509.8868676
D14,HDB 3 Rooms,2013,522.2238213
D14,HDB 3 Rooms,2014,493.0011181
D14,HDB 3 Rooms,2015,476.8641027
D14,HDB 3 Rooms,2016,477.730574
D14,HDB 3 Rooms,2017,451.3072856
D14,HDB 3 Rooms,2018,443.5375124
D14,HDB 3 Rooms,2019,445.0113803
D14,HDB 3 Rooms,2020,431.9603116
D14,HDB 3 Rooms,2021,501.0445708
D14,HDB 3 Rooms,2022,556.4521064
D14,HDB 4 Rooms,1990,96.34829216
D14,HDB 4 Rooms,1991,96.8639769
D14,HDB 4 Rooms,1992,110.4456581
D14,HDB 4 Rooms,1993,143.988487
D14,HDB 4 Rooms,1994,182.0507575
D14,HDB 4 Rooms,1995,227.0272655
D14,HDB 4 Rooms,1996,299.3577261
D14,HDB 4 Rooms,1997,313.7785358
D14,HDB 4 Rooms,1998,264.2044006
D14,HDB 4 Rooms,1999,250.0974596
