Property.Name.,Property.Type.,Asking.,PSF.,Built.Year.,Model.,Developer.,Address.,District.,Bedrooms.,Bathrooms.,Floor.,Area.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat
Northwave,Condominium,"$846,000 ", $756 psf (Built-up) ,NA,Condominium,Hao Yuan (Woodlands) Pte Ltd,103 Woodlands View (737709), D25 - Admiralty / Woodlands ,3,2,MID," 1,119 sqft (Built-up) ",LEASEHOLD/99 years,358,"Swimming Pool View, Original Condition, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony, Maidsroom","SEMBAWANG MRT 14 mins  NS11 1.16 km, ADMIRALTY MRT 14 mins  NS10 1.18 km","Opp 3M Bldg 1 min  965969 130m, 3M Bldg 1 min  965965A969NR2 140m","Greenwood Primary 810m, Canberra Primary 1.01 km, Riverside Primary 1.08 km","Sembawang Secondary 670m, Admiralty Secondary 990m, Spectra Secondary 1.09 km","Sun Plaza 1.07 km, ADMIRALTY PLACE 1.09 km, WOODLANDS MART 1.45 km",Partially Furnished,NA,NA,103.808573,1.4424615
Robin Residences,Condominium,"$1,450,000 "," $2,695 psf (Built-up) ",2015,Condominium,Sing Holdings (Robin) Pte Ltd,1 Robin Drive (258261), D10 - Tanglin / Holland / Bukit Timah ,2,1,LOW, 538 sqft (Built-up) ,FREEHOLD,134,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood","STEVENS MRT DUE 2016 2 mins  DT10TE11 230m, MOUNT PLEASANT MRT DUE 2021 16 mins  TE10 1.29 km, NEWTON MRT 16 mins  DT11NS21 1.33 km","Opp Stevens Stn 1 min  486666B67170171700700A960 140m, Leng Kwang Baptist Ch 1 min  6666B6748170170A171960700700A 150m, Stevens Stn 2 mins  960700700A6666B6748170170A171 220m","Singapore Chinese Girls' Primary 190m, Anglo-chinese School (primary) 870m","Singapore Chinese Girls' 190m, Raffles Girls' School (secondary) 860m, Anglo-chinese School (barker Road) 880m","Delfi Orchard 1.36 km, Palais Renaissance 1.43 km, Tanglin Shopping Centre 1.46 km",Fully Furnished,"Singapore Chinese Girls' School 190m, Singapore Chinese Girls' Primary School 190m",NA,103.8277167,1.3196281
Pasir Ris Street 21,HDB Executive,"$630,000 ", $406 psf (Built-up) ,1994,Executive Apartment,NA,270 Pasir Ris Street 21 (510270),NA,3+1,2,HIGH, 144 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Park/greenery View, Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","TAMPINES EAST MRT 18 mins  DT33 1.5 km, PASIR RIS MRT 23 mins  EW1 1.87 km","Blk 269A 1 min  3125353A39172181518518A 150m, Blk 275 1 min  91959 150m, Blk 156 2 mins  518NR74N813933A12531721 180m","White Sands Primary 370m, Pasir Ris Primary 780m, Loyang Primary 1.12 km","Greenview Secondary 460m, Loyang Secondary 820m, Pasir Ris Crest Secondary 940m","LOYANG POINT 110m, DOWNTOWN EAST 1.75 km, White Sands 1.79 km",NA,NA, Pasir Ris ,103.9642996,1.3654829
Gem Residences,Condominium,"$1,619,000 "," $1,710 psf (Built-up) ",2019,Condominium,GEM Homes Pte Ltd,3 Lorong 5 Toa Payoh (319459), D12 - Balestier / Toa Payoh ,3,NA,NA, 947 sqft (Built-up) ,LEASEHOLD/99 years,578,"City View, Swimming Pool View, Park/greenery View, Air Conditioning, Cooker Hob/hood, Balcony, Outdoor Patio, Roof Terrace","BRADDELL MRT 7 mins  NS18 570m, TOA PAYOH MRT 11 mins  NS19 880m, CALDECOTT MRT 16 mins  CC17TE9 1.33 km","Blk 52 2 mins  232 160m, Blk 237 2 mins  NR1129155155A157159163105153885657592873 170m, Blk 1 2 mins  735657592888155157159163129153105 190m","First Toa Payoh Primary 480m, Kheng Cheng 520m, Pei Chun Public 520m","Beatty Secondary 290m, Guangyang Secondary 610m, Raffles Institution 940m","Hdb Hub 860m, Junction 8 1.28 km, JUNCTION 8 SHOPPING CENTRE 1.3 km",NA,"Raffles Institution 940m, St. Joseph's Institution 1.42 km, Catholic High School 1.86 km",NA,103.8486493,1.3377967
26 Newton,Condominium,"$1,645,361 "," $2,680 psf (Built-up) ",2016,Condominium,Novelty Corp Pte Ltd,26 Newton Road (307957), D11 - Newton / Novena ,2,2,MID, 614 sqft (Built-up) ,FREEHOLD,180,"Bin Centre, Pavilion With Bbq Corner, Gymnasium, Car Park, Genset, Changing Room, Shower Point, Wading Pool, Sentry Point, Cabana, Drop Off Point, Pool Deck, Outdoor Shower, Swimming Pool, Lobby, Children Playground, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Balcony, Bombshelter","NOVENA MRT 6 mins  NS20 540m, NEWTON MRT 7 mins  DT11NS21 560m, FARRER PARK VIEW 16 mins  NE8 1.29 km","Hotel Royal 1 min  124162162M143167518518A545 150m, Newton Life Ch 2 mins  545167124162162M143 160m, Opp Newton Life Ch 2 mins  143162162M167124554NR1 180m","St. Joseph's Institution Junior 500m, Anglo-chinese School (primary) 740m, Anglo-chinese School (junior) 750m","Anglo-chinese School (barker Road) 790m, Balestier Hill Secondary 980m, Raffles Girls' School (secondary) 1.48 km","United Square Shopping Mall 270m, GOLDHILL SHOPPING CENTRE 330m, VELOCITY @ NOVENA SQUARE 530m",Partially Furnished,"Singapore Chinese Girls' School 1.64 km, Singapore Chinese Girls' Primary School 1.64 km, School Of The Arts, Singapore 1.98 km",NA,103.8415977,1.3156897
Jurong East Avenue 1,HDB Executive,"$535,000 ", $338 psf (Built-up) ,1985,NA,NA,337 Jurong East Avenue 1 (600337),NA,4,NA,NA, 147 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","CHINESE GARDEN MRT 10 mins  EW25 870m, LAKESIDE MRT 17 mins  EW26 1.37 km, BUKIT BATOK MRT 24 mins  NS2 1.96 km","Opp Jurong Polyclinic 1 min  5023345NNR51871989898M99157185 140m, Jurong Polyclinic 2 mins  1851579898M99334187198502 160m, Opp Track 18 2 mins  174 180m","Jurong Primary 170m, Princess Elizabeth Primary 1.02 km, Shuqun Primary 1.18 km","Jurongville Secondary 370m, Hong Kah Secondary 620m, Fuhua Secondary 670m",West Mall 1.93 km,NA,NA, Jurong East ,103.7316804,1.3498561
Yishun Street 81,HDB 5 Rooms,"$565,000 ", $430 psf (Built-up) ,1988,NA,NA,844 Yishun Street 81 (760844),NA,3,NA,NA, 122 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony, Bombshelter","KHATIB MRT 4 mins  NS14 330m, YISHUN MRT 19 mins  NS13 1.56 km","Blk 873 1 min  811 140m, Blk 846 2 mins  850E860860A811 220m, Blk 624 3 mins  8111NNR1850E860 250m","Naval Base Primary 410m, Peiying Primary 590m, Northland Primary 890m","Orchid Park Secondary 290m, Chung Cheng High School (yishun) 490m, Naval Base Secondary 640m","WISTERIA MALL 740m, NORTHPOINT SHOPPING CENTRE 1.59 km, Northpoint 1.59 km",NA,NA, Yishun ,103.8350761,1.4154318
Whitewater,Condominium,"$850,000 ", $711 psf (Built-up) ,2005,Executive Condominium,Whitewater Properties P L (far East Organization),29 Pasir Ris Street 72 (518768), D18 - Pasir Ris / Tampines ,3,3,NA," 1,195 sqft (Built-up) ",LEASEHOLD/99 years,397,"Tennis Court, Wadpool, Car Park, Barbecue Area, Gymnasium, Club House, Jacuzzi, Swimming Pool, Play Ground, Landscaped Garden, Securities, Fitness Area, Swimming Pool View, Renovated, Air Conditioning, Cooker Hob/hood, Air Conditioning, Water Heater, Air-conditioning, Kitchen, Wardrobe, Flooring For Living/dining, Flooring For Bedroom, Bombshelter",PASIR RIS MRT 22 mins  EW1 1.76 km,"Aft Pasir Ris St 72 1 min  359518518A5888 40m, Aft Pasir Ris Dr 1 1 min  5888518359 80m, Blk 738 2 mins  359518518A33B39815353A89109 190m","Meridian Primary 550m, Park View Primary 580m, Elias Park Primary 1.28 km",Siglap Secondary 470m,"PASIR RIS WEST PLAZA 170m, ELIAS MALL 780m, White Sands 1.85 km",Fully Furnished,NA,NA,103.9353813,1.3799361
Yishun Ring Road,HDB 4 Rooms,"$368,000 ", $376 psf (Built-up) ,1985,New Generation,NA,108 Yishun Ring Road (760108),NA,3,2,HIGH, 91 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","YISHUN MRT 9 mins  NS13 760m, CANBERRA U+C (NS12) 16 mins  NS12 1.31 km, KHATIB MRT 21 mins  NS14 1.72 km","Blk 137 1 min  8121NNR1 110m, Aft Chong Pang CC 1 min  800812 130m, Opp Blk 701A 2 mins  811811A969856858858A859171 230m","Ahmad Ibrahim Primary 470m, Jiemin Primary 550m, Yishun Primary 600m","Ahmad Ibrahim Secondary 430m, Yishun Secondary 460m, Yishun Town Secondary 1.03 km","NORTHPOINT SHOPPING CENTRE 830m, Northpoint 830m, SEMBAWANG SHOPPING CENTRE 1.15 km",Partially Furnished,NA, Yishun ,103.8290981,1.432342
Bukit Batok East Avenue 5,HDB 3 Rooms,"$320,000 ", $444 psf (Built-up) ,1985,New Generation(modified),NA,240 Bukit Batok East Avenue 5 (650240),NA,2,2,HIGH, 67 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Renovated, Park/greenery View, Air Conditioning, Cooker Hob/hood, Water Heater","BUKIT BATOK MRT 6 mins  NS2 540m, BUKIT GOMBAK MRT 12 mins  NS3 980m, HILLVIEW MRT DUE 2016 24 mins  DT3 1.95 km","Blk 240 1 min  176985945 70m, Blk 503 1 min  945985176 90m, Blk 231 2 mins  85250699061776666B106106A157174174e177178 170m","Lianhua Primary 420m, Bukit View Primary 480m, Keming Primary 610m","Hillgrove Secondary 280m, Bukit View Secondary 570m, Yusof Ishak Secondary 1.12 km","West Mall 560m, HillV2 1.75 km, THE RAIL MALL 1.81 km",Partially Furnished,NA, Bukit Batok ,103.7539471,1.3505337
Gentle Road,Semi-Detached,"$7,100,000 "," $1,731 psf (Land) / $2,219 psf (Built-up) ",NA,Semi-detached,NA,Gentle Road, D11 - Newton / Novena ,5,NA,NA," 4,101 sqft (Land) /  3,200 sqft (Built-up) ",FREEHOLD,NA,"Park/greenery View, Original Condition, Corner Unit, Air Conditioning, Bathtub, Water Heater, Cooker Hob/hood, Balcony, Outdoor Patio, Terrace, Maidsroom, Private Garden","NOVENA MRT 3 mins  NS20 290m, NEWTON MRT 10 mins  DT11NS21 870m, MOUNT PLEASANT MRT DUE 2021 14 mins  TE10 1.13 km","Opp Novena Ch 2 mins  141143166167162162M131554565721851980NR1 200m, Novena Ch 2 mins  545167162162M143 230m","Anglo-chinese School (primary) 590m, St. Joseph's Institution Junior 600m, Balestier Hill Primary 770m","Anglo-chinese School (barker Road) 550m, Balestier Hill Secondary 600m, Singapore Chinese Girls' 1.42 km","Velocity@novena Square 370m, VELOCITY @ NOVENA SQUARE 370m, GOLDHILL SHOPPING CENTRE 380m",NA,"Singapore Chinese Girls' School 1.42 km, Singapore Chinese Girls' Primary School 1.42 km",NA,-74.8544679,40.1480895
Coronation Road,Semi-Detached,"$8,300,000 "," $1,925 psf (Land) / $1,566 psf (Built-up) ",1994,Semi-detached,NA,Coronation Road, D10 - Tanglin / Holland / Bukit Timah ,5,NA,NA," 4,310 sqft (Land) /  5,300 sqft (Built-up) ",999 years,NA,"Renovated, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater, Outdoor Patio, Balcony, Maidsroom, Walk-in-wardrobe, Private Garden","TAN KAH KEE MRT DUE 2016 6 mins  DT8 520m, FARRER ROAD MRT 10 mins  CC20 810m, SIXTH AVENUE MRT DUE 2016 13 mins  DT7 1.11 km",NA,"Nanyang Primary 550m, Raffles Girls' Primary 840m","Hwa Chong Institution 260m, National Junior College 800m, St. Margaret's Secondary 810m","CORONATION SHOPPING PLAZA 740m, HOLLAND ROAD SHOPPING CENTRE 1.69 km, Holland Road Shopping Centre 1.69 km",NA,"Hwa Chong Institution 260m, National Junior College 800m",NA,103.8053262,1.3218636
One-north Residences,Apartment,"$1,380,000 "," $1,441 psf (Built-up) ",2009,Apartment,Vista Development Pte Ltd,9 One-north Gateway (138643), D5 - Buona Vista / West Coast / Clementi New Town ,1,NA,NA, 958 sqft (Built-up) ,LEASEHOLD/99 years,405,"Barbecue Area, Jacuzzi, Swimming Pool, Gymnasium, Landscaped Garden, Air Conditioning, Intercom, Cooker Hob/hood, Air Conditioning, Water Heater, Air-conditioning, Bombshelter","ONE NORTH MRT 4 mins  CC23 360m, BUONA VISTA MRT 7 mins  CC22EW21 620m, COMMONWEALTH MRT 11 mins  EW20 920m","Opp one-north Stn 2 mins  191 200m, one-north Stn 2 mins  191 220m","Fairfield Methodist School (primary) 520m, New Town Primary 1.15 km, Henry Park Primary 1.79 km","Fairfield Methodist School (secondary) 630m, Anglo-chinese School (independent) 1.09 km, Queensway Secondary 1.37 km","Rochester Mall 440m, THE STAR VISTA 610m, HOLLAND ROAD SHOPPING CENTRE 1.12 km",NA,Anglo-chinese School (independent) 1.09 km,NA,103.7900669,1.3017122
Montrosa,Condominium,"$1,220,000 "," $1,003 psf (Built-up) ",1999,Condominium,Lauw Development Pte Ltd,132 Hillview Avenue (669597), D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang ,3,NA,NA," 1,216 sqft (Built-up) ",999 years,122,"Tennis Court, Club House, Car Park, Barbecue Area, Play Ground, Wadpool, Swimming Pool, Park/greenery View, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater, Kitchen, Wardrobe, Air-conditioning, Flooring For Bedroom, Flooring For Living/dining, Balcony, Maidsroom","BUKIT GOMBAK MRT 12 mins  NS3 960m, HILLVIEW MRT DUE 2016 12 mins  DT3 1.0 km, BUKIT BATOK MRT 18 mins  NS2 1.46 km","Hillview Hse 2 mins  173 160m, Aft Jln Remaja 2 mins  173 190m, Opp Hillview Apts 2 mins  173176177970963963R 230m","Lianhua Primary 720m, Keming Primary 1.32 km, Dazhong Primary 1.35 km","Hillgrove Secondary 910m, Swiss Cottage Secondary 1.39 km, Bukit View Secondary 1.51 km","HillV2 800m, THE RAIL MALL 900m, West Mall 1.45 km",NA,NA,NA,103.759769,1.356757
Watertown,Apartment,"$850,000 "," $1,491 psf (Built-up) ",2017,Apartment,Emerald Star Pte Ltd / FC Retail Trustee Pte Ltd,73 Punggol Central (828756), D19 - Hougang / Punggol / Sengkang ,1+1,1,MID, 570 sqft (Built-up) ,LEASEHOLD/99 years,992,"Bbq Pits, 24 Hours Security, Fun Pool, Basement Car Park, Gymnasium Room, Lap Pool, Multi-purpose Hall, Fitness Corner, Tennis Courts, Function Room, Pool Deck, Clubhouse, Swimming Pool, Playground, Pavillion, Original Condition, Swimming Pool View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Water Heater, Intercom, Air Conditioning, Balcony","PUNGGOL MRT 1 min  NE17PTC 80m,  1 min   120m,  5 mins   470m",NA,"Punggol View Primary 370m, Punggol Green Primary 630m, Punggol Cove Primary 700m","Edgefield Secondary 680m, Punggol Secondary 900m, Compassvale Secondary 1.16 km","WATERWAY POINT 20m, Rivervale Mall 1.58 km, Compass Point 1.77 km",Fully Furnished,NA,NA,103.9012948,1.4063489
The Inflora,Condominium,"$870,000 "," $1,171 psf (Built-up) ",2016,Condominium,Tripartite Developers Pte. Limited,57 Flora Drive (506865), D17 - Changi Airport / Changi Village ,2,2,HIGH, 743 sqft (Built-up) ,LEASEHOLD/99 years,396,"Tennis Court, Aqua Seats, Lawn With Hammocks, Pool Deck, Kids Pool, Fitness Stations, Stretching Lawn, Spa Pool, Jogging Track, Spa Pods, Pavilions, Patio, Water Feature, Bubbling Pool, Social Pool With Hanging Lounges, Pool Side Dining Deck, Water Bungalow, Party Deck With Bbq, Toilet With Changing Room, 50M Lap Pool, Sunken Deck, Playground, Aqua Gym, Topiary Lawn, Clubhouse, Corner Unit, Swimming Pool View, Original Condition, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony","TAMPINES EAST MRT 16 mins  DT33 1.32 km, UPPER CHANGI MRT 21 mins  DT34 1.7 km",NA,"East Spring Primary 650m, White Sands Primary 1.19 km, Chongzheng Primary 1.79 km","East Spring Secondary 630m, Ngee Ann Secondary 1.08 km, Dunman Secondary 1.22 km",LOYANG POINT 1.14 km,Partially Furnished,NA,NA,103.9664294,1.3564232
Edelweiss Park Condominium,Condominium,"$700,000 ", $986 psf (Built-up) ,2006,Condominium,Tripartite Developers Pte Ltd,98 Flora Road (507008), D17 - Changi Airport / Changi Village ,1,1,GROUND, 710 sqft (Built-up) ,FREEHOLD,517,"Corner Unit, Original Condition, Cooker Hob/hood, Bathtub, Intercom, Water Heater, Air Conditioning","TAMPINES EAST MRT 19 mins  DT33 1.52 km, UPPER CHANGI MRT 22 mins  DT34 1.78 km","Bef Jln Bena 1 min  245 140m, Aft Jln Bena 2 mins  25 180m, Ballota Pk Condo 2 mins  25 230m","East Spring Primary 820m, White Sands Primary 1.3 km, Pasir Ris Primary 1.87 km","East Spring Secondary 830m, Ngee Ann Secondary 1.28 km, Dunman Secondary 1.4 km",LOYANG POINT 1.19 km,NA,NA,NA,103.968059,1.356316
Hougang Avenue 6,HDB Executive,"$708,000 ", $450 psf (Built-up) ,1989,Maisonette,NA,429 Hougang Avenue 6 (530429),NA,4,NA,NA, 146 sqm (Built-up) ,LEASEHOLD/99 years,NA,"Renovated, Park/greenery View, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","HOUGANG MRT 7 mins  NE14 590m, BUANGKOK MRT 10 mins  NE15 820m,  13 mins   1.05 km","Blk 434 1 min  3257474e6262A11388147 140m, Opp Punggol CC 1 min  1131616N276262A 140m, Punggol CC 1 min  6227161113 150m","Punggol Primary 330m, Chij Our Lady Of The Nativity 500m, Montfort Junior 530m","Holy Innocents' High 520m, Montfort Secondary 560m, North Vista Secondary 870m","Eastpoint Mall 310m, Hougang Mall 310m, THE MIDTOWN 570m",NA,NA, Hougang ,103.893814,1.3754485
Symphony Suites,Condominium,"$842,000 ", $920 psf (Built-up) ,NA,Condominium,EL Development (Yishun) Pte Ltd,11 Yishun Close (768009), D27 - Sembawang / Yishun ,3,NA,NA, 915 sqft (Built-up) ,LEASEHOLD/99 years,660,"Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","YISHUN MRT 15 mins  NS13 1.22 km, CANBERRA U+C (NS12) 24 mins  NS12 1.96 km",Bet Blks 318A/318B 1 min  803 110m,"Chongfu 690m, Xishan Primary 760m, Huamin Primary 910m","Northland Secondary 480m, Yishun Town Secondary 760m, North View Secondary 870m","JUNCTION NINE 380m, Northpoint 1.13 km, NORTHPOINT SHOPPING CENTRE 1.13 km",NA,NA,NA,103.8448696,1.434563
Riverbank @ Fernvale,Condominium,"$850,000 "," $1,197 psf (Built-up) ",2017,Condominium,UOL Development (Sengkang) Pte Ltd,11 Fernvale Close (797475), D28 - Seletar / Yio Chu Kang ,2,2,NA, 710 sqft (Built-up) ,LEASEHOLD/99 years,555,"Jacuzzi, Hydro Spa, Pool Deck, Bbq Area Dining & Play Fountain, Function Room, Guard House, Children's Playground, Indoor Gym, Splash Pool & Family Pool, Clubhouse, 50M Freeform Pool, Fitness Alcove, Tennis Court, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood","LAYAR LRT 4 mins  SW6 320m,  4 mins   330m,  4 mins   380m",Bef Fernvale Link 1 min  10285 90m,"Sengkang Green Primary 720m, Anchor Green Primary 810m, Springdale Primary 960m","Pei Hwa Secondary 590m, Nan Chiau High 1.21 km","THE SELETAR MALL 680m, GREENWICH V 1.54 km, COMPASS ONE 1.55 km",Fully Furnished,NA,NA,103.881293,1.3947215
Riverbank @ Fernvale,Condominium,"$850,000 "," $1,197 psf (Built-up) ",2017,Condominium,UOL Development (Sengkang) Pte Ltd,11 Fernvale Close (797475), D28 - Seletar / Yio Chu Kang ,2,2,NA, 710 sqft (Built-up) ,LEASEHOLD/99 years,555,"Bbq Area Dining & Play Fountain, Fitness Alcove, Indoor Gym, Clubhouse, 50M Freeform Pool, Hydro Spa, Guard House, Pool Deck, Tennis Court, Function Room, Children's Playground, Jacuzzi, Splash Pool & Family Pool, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood","LAYAR LRT 4 mins  SW6 320m,  4 mins   330m,  4 mins   380m",Bef Fernvale Link 1 min  10285 90m,"Sengkang Green Primary 720m, Anchor Green Primary 810m, Springdale Primary 960m","Pei Hwa Secondary 590m, Nan Chiau High 1.21 km","THE SELETAR MALL 680m, GREENWICH V 1.54 km, COMPASS ONE 1.55 km",Fully Furnished,NA,NA,103.881293,1.3947215
Maplewoods Condominium,Condominium,"$2,250,000 "," $1,699 psf (Built-up) ",1997,Condominium,Evermore Investments Pte Ltd,985 Bukit Timah Road (589627), D21 - Clementi Park / Upper Bukit Timah ,3,NA,NA," 1,324 sqft (Built-up) ",FREEHOLD,697,"Multi Purpose Hall, Jacuzzi, Barbecue Area, Wadpool, Fitness Area, Club House, Squash Court, Car Park, Swimming Pool, Securities, Play Ground, Landscaped Garden, Tennis Court, Park/greenery View, Renovated, Air Conditioning, Intercom, Wardrobe, Kitchen, Air-conditioning, Flooring For Living/dining, Flooring For Bedroom","KING ALBERT PARK MRT DUE 2016 2 mins  DT6 230m, BEAUTY WORLD MRT DUE 2016 16 mins  DT5 1.35 km, SIXTH AVENUE MRT DUE 2016 17 mins  DT7 1.36 km","The Nexus 1 min  6666B677477174170170A171154157151852970961961C 150m, Hua Guan Gdn 2 mins  154157170171151174970961961C85274776666B67 180m, Opp The Nexus 3 mins  961961C85297074776666B67151170171174154157 250m","Methodist Girls' School (primary) 340m, Pei Hwa Presbyterian Primary 1.13 km",Methodist Girls' School (secondary) 340m,"BUKIT TIMAH PLAZA 900m, BEAUTY WORLD PLAZA 1.32 km, BUKIT TIMAH SHOPPING CENTRE 1.46 km",NA,"Methodist Girls' School (secondary) 340m, Methodist Girls' School (primary) 340m",NA,103.7850975,1.3348359
The Light @ Cairnhill,Condominium,"$4,900,000 "," $2,006 psf (Built-up) ",2004,Condominium,Wing Tai Holdings Limited,50 Cairnhill Road (229662), D9 - Orchard / River Valley ,4,4,LOW," 2,443 sqft (Built-up) ",FREEHOLD,118,"Swimming Pool, Barbecue Area, Securities, Gymnasium, Wadpool, Landscaped Garden, Jacuzzi, Tennis Court, Car Park, Park/greenery View, Air Conditioning, Wardrobe, Flooring For Living/dining, Kitchen, Flooring For Bedroom, Air-conditioning, Balcony","SOMERSET MRT 7 mins  NS23 630m, ORCHARD MRT 8 mins  NS22TE14 680m, NEWTON MRT 9 mins  DT11NS21 730m",NA,"Anglo-chinese School (junior) 560m, St. Margaret's Primary 970m, River Valley Primary 1.34 km","Raffles Girls' School (secondary) 1.18 km, School Of The Arts, Singapore 1.41 km, Anglo-chinese School (barker Road) 1.53 km","Paragon 260m, THE PARAGON 330m, 268 ORCHARD ROAD 370m",Not Furnished,"School Of The Arts, Singapore 1.41 km",NA,103.8377758,1.3059693
Leedon Residence,Condominium,"$7,898,520 "," $2,983 psf (Built-up) ",2015,Condominium,Leedon Residence Development Pte Ltd,16 Leedon Heights (267937), D10 - Tanglin / Holland / Bukit Timah ,4,NA,NA," 2,648 sqft (Built-up) ",FREEHOLD,381,"Tennis Courts, Arrival Court, The Gym, The Grill, Pool Cabanas, Recreational Garden, Kids’ Pool, Water Features, Tree Avenue, Tree Grove, Pavillions, Reflective Pool, The Dining Lounge, Fitness Corner, The Club, Jacuzzi, Lap Pool, The Forest Walk, Discovery Playground, Corner Unit, Original Condition, Cooker Hob/hood, Bathtub, Intercom, Water Heater, Air Conditioning, Balcony, Maidsroom, Bombshelter, Private Garden, Walk-in-wardrobe","HOLLAND VILLAGE MRT 7 mins  CC21 570m, FARRER ROAD MRT 10 mins  CC20 870m, COMMONWEALTH MRT 15 mins  EW20 1.2 km","Fairlodge 1 min  1651067577487 140m, Aft Estoril Mans 2 mins  77577481061655NNR8 180m","Nanyang Primary 1.14 km, New Town Primary 1.47 km","St. Margaret's Secondary 1.24 km, Queensway Secondary 1.4 km, Hwa Chong Institution 1.42 km","HOLLAND ROAD SHOPPING CENTRE 740m, Holland Road Shopping Centre 740m, CORONATION SHOPPING PLAZA 1.56 km",NA,"Hwa Chong Institution 1.42 km, National Junior College 1.97 km",NA,103.801481,1.312749
Leedon Residence,Condominium,"$11,458,432 "," $2,436 psf (Built-up) ",2015,Condominium,Leedon Residence Development Pte Ltd,20 Leedon Heights (266218), D10 - Tanglin / Holland / Bukit Timah ,5,NA,NA," 4,704 sqft (Built-up) ",FREEHOLD,381,"The Gym, The Forest Walk, Arrival Court, Pavillions, Fitness Corner, Tennis Courts, Jacuzzi, Kids’ Pool, Recreational Garden, The Dining Lounge, The Grill, Tree Grove, Tree Avenue, Water Features, Discovery Playground, Pool Cabanas, The Club, Reflective Pool, Lap Pool, Original Condition, Park/greenery View, Corner Unit, Private Pool, Air Conditioning, Bathtub, Intercom, Water Heater, Cooker Hob/hood, Balcony, Bombshelter, Maidsroom, Walk-in-wardrobe","HOLLAND VILLAGE MRT 7 mins  CC21 630m, FARRER ROAD MRT 9 mins  CC20 760m, COMMONWEALTH MRT 17 mins  EW20 1.37 km",NA,"Nanyang Primary 990m, New Town Primary 1.64 km, Raffles Girls' Primary 1.83 km","St. Margaret's Secondary 1.12 km, Hwa Chong Institution 1.25 km, Queensway Secondary 1.57 km","HOLLAND ROAD SHOPPING CENTRE 840m, Holland Road Shopping Centre 840m, CORONATION SHOPPING PLAZA 1.41 km",NA,"Hwa Chong Institution 1.25 km, National Junior College 1.8 km",NA,103.8020663,1.3145706
Bedok Residences,Apartment,"$890,000 "," $1,503 psf (Built-up) ",2015,Apartment,Brillamce Residential (1) Pte Ltd / Brillance Trustee Pte Ltd,24 Bedok North Drive (465498), D16 - Bedok / Upper East Coast ,1+1,1,NA, 592 sqft (Built-up) ,LEASEHOLD/99 years,583,"Water Lounge Sunbeds, Children Playground, Clubhouse With Gym And Function Rooms, Kinetic Fish Water Feature, Infinity Lap Pool, Bbq In Maze, Jetty Pavilion, Tennis Court, Children's Pool, Terraced Spa Pods, Senior Fitness Stations, Outdoor Exercise Stations, Reflective Pools, City View, Sea View, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony","BEDOK MRT 1 min  EW5 70m, BEDOK RESERVOIR MRT 17 mins  DT30 1.37 km, SIGLAP MRT DUE 2023 20 mins  TE28 1.63 km","Bedok Stn 1 min  246728313535M29222222B 30m, Bedok Int 1 min  222225G225W228229401854854E1961976666A6914161717A182579263030e323333B3535M60384016887 90m, Bedok Stn 2 mins  222B2224N672928313535M24 160m","Fengshan Primary 680m, Opera Estate Primary 850m, Bedok Green Primary 880m","Temasek Junior College 920m, Ping Yi Secondary 1.05 km, Bedok Green Secondary 1.25 km","BEDOK MALL 70m, BEDOK POINT 280m, SIGLAP SHOPPING CENTRE 1.44 km",Partially Furnished,Temasek Junior College 920m,NA,103.9283224,1.3252751
