address,bath,bed,built_year,developer,district,last_updated,name,nearest_mrt_name,neighbourhood,price/sqft,property_type,rental,sqft,tenure,title,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,no._of_bedrooms,furnishing,floor_level,overlooking_view,facing
2 Marina Boulevard,3 Baths,4 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),17 days ago,The Sail @ Marina Bay,Downtown MRT,None,$7.19 psf,Condo Whole Unit,"$15,828/mo","2,200 sqft",99 Years,4 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,Partial,,,
77 Upper East Coast Road,2 Baths,1 Bed,2022.0,KDC (77) Development Pte. Ltd. (KTC Group),East Coast / Marine Parade (D15),8 days ago,77 @ East Coast,Siglap MRT,Bedok,$6.42 psf,Condo Whole Unit,"$3,800/mo",592 sqft,Freehold,1 Bed Condo for Rent in 77 @ East Coast,41.0,,,,"1, 2, 3, 4, 5 BR",,,,,
Jalan Lepas,3 Baths,5 Beds,2008.0,,Hougang / Punggol / Sengkang (D19),1 month ago,Charlton Park,Kovan MRT,Hougang,$3.97 psf,Terraced House,"$11,900/mo","2,800 sqft (built-up) / 3,000 sqft (land)",Freehold,5 Bed House for Rent in Charlton Park,,49 min,34 min,33 min,"4, 5, 6, 7 BR",,Partial,,,South East
48 Marine Parade Road,3 Baths,3 Beds,2014.0,Marina Green Ltd (Far East Organization),East Coast / Marine Parade (D15),6 days ago,Silversea,3-bedroom for rent,Marine Parade,$6.63 psf,Condo Whole Unit,"$11,000/mo","1,658 sqft",99 Years,3 Bed Condo for Rent in Silversea,383.0,36 min,35 min,31 min,"2, 3, 4, 5 BR",,Partial,High,,South
118 Kim Seng Road,3 Baths,3 Beds,2010.0,Lippo Land Corporation,Orchard / River Valley (D9),3 days ago,The Trillium,Somerset MRT,None,$6.12 psf,Condo Whole Unit,"$11,000/mo","1,798 sqft",Freehold,3 Bed Condo for Rent in The Trillium,237.0,62 min,17 min,24 min,"2, 3, 4, 5 BR",,,,,
Jalan Redop,6 Baths,5 Beds,,,Seletar / Yio Chu Kang (D28),7 days ago,Seletar Hills Estate,5-bedroom for rent,Serangoon,$4.41 psf,Semi-Detached House,"$13,900/mo","4,500 sqft (built-up) / 3,150 sqft (land)",-,5 Bed House for Rent in Seletar Hills Estate,,56 min,49 min,50 min,"3, 4, 5, 6, 7, 8 BR",,Partial,,,
,6 Baths,5 Beds,,,Clementi Park / Upper Bukit Timah (D21),20 days ago,,5-bedroom for rent,,$5.96 psf,Bungalow,"$62,000/mo","10,400 sqft (built-up)",,5 Bed House for Rent in King Albert Park,,,,,,,,,,
253B Pasir Panjang Road,1 Bath,1 Bed,2010.0,Fragrance Properties Pte Ltd,Buona Vista / West Coast / Clementi (D5),1 day ago,Parc Imperial,Haw Par Villa MRT,Queenstown,$8.26 psf,Condo Whole Unit,"$3,288/mo",398 sqft,Freehold,1 Bed Condo for Rent in Parc Imperial,138.0,,,,"Studio, 1, 2, 3 BR",,Fully,Mid,,
6 Marina Boulevard,3 Baths,4 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),5 days ago,The Sail @ Marina Bay,Downtown MRT,None,$6.27 psf,Condo Whole Unit,"$13,800/mo","2,200 sqft",99 Years,4 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
4 Marina Boulevard,2 Baths,2 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),6 days ago,The Sail @ Marina Bay,Downtown MRT,None,$8.16 psf,Condo Whole Unit,"$7,200/mo",882 sqft,99 Years,2 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
65 Lloyd Road,2 Baths,2 Beds,2017.0,Tg (2010) Pte Ltd,Orchard / River Valley (D9),1 month ago,Lloyd Sixtyfive,Somerset MRT,River Valley,$6.52 psf,Condo Whole Unit,"$11,500/mo","1,765 sqft",Freehold,2 Bed Condo for Rent in Lloyd Sixtyfive,76.0,56 min,12 min,14 min,"1, 2, 3, 4, 5 BR",,Partial,,,
48 Lengkong Tujoh,2 Baths,2 Beds,2014.0,Hoi Hup Sunway Property Pte Ltd,Eunos / Geylang / Paya Lebar (D14),7 days ago,Vacanza @ East,Kembangan MRT,Bedok,$5.58 psf,Condo Whole Unit,"$4,500/mo",807 sqft,Freehold,2 Bed Condo for Rent in Vacanza @ East,473.0,46 min,44 min,38 min,"1, 2, 3, 4 BR",,Fully,High,,
9 Pasir Ris Drive 4,2 Baths,3 Beds,2005.0,City Developments Ltd,Pasir Ris / Tampines (D18),12 days ago,The Esparis,3-bedroom for rent,Pasir Ris,$3.72 psf,Condo Whole Unit,"$4,400/mo","1,184 sqft",99 Years,3 Bed Condo for Rent in The Esparis,274.0,27 min,51 min,46 min,"3, 4 BR",,,,,
137 Pasir Ris Grove,2 Baths,3 Beds,2017.0,Hong Realty (Private) Limited,Pasir Ris / Tampines (D18),12 days ago,D'nest,Pasir Ris MRT,Pasir Ris,$5.28 psf,Condo Whole Unit,"$5,000/mo",947 sqft,99 Years,3 Bed Condo for Rent in D'nest,912.0,32 min,49 min,41 min,"1, 2, 3, 4, 5 BR",,Fully,Mid,,East
21 Stirling Road,2 Baths,3 Beds,2022.0,LN Development (Stirling) Pte Ltd (Logan Property Holdings/ Nanshan Group),Alexandra / Commonwealth (D3),1 month ago,Stirling Residences,Queenstown MRT,Queenstown,$7.58 psf,Apartment Whole Unit,"$8,000/mo","1,055 sqft",99 Years,3 Bed Condo for Rent in Stirling Residences,1259.0,66 min,31 min,19 min,"Studio, 1, 2, 3, 4 BR",,,,,
908 Sims Avenue,2 Baths,2 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),4 days ago,Parc Esta,Eunos MRT,Geylang,$7.43 psf,Condo Whole Unit,"$5,200/mo",700 sqft,99 Years,2 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
902 Sims Avenue,2 Baths,2 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),5 days ago,Parc Esta,Eunos MRT,Geylang,$6.73 psf,Condo Whole Unit,"$5,000/mo",743 sqft,99 Years,2 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
1 Lorong 5 Toa Payoh,2 Baths,3 Beds,2020.0,Gem Homes Pte Ltd,Balestier / Toa Payoh (D12),5 days ago,Gem Residences,Braddell MRT,Toa Payoh,$6.64 psf,Condo Whole Unit,"$7,000/mo","1,055 sqft",99 Years,3 Bed Condo for Rent in Gem Residences,578.0,65 min,20 min,26 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
6 Ardmore Park,6 Baths,6 Beds,1987.0,Wing Tai Asia,Tanglin / Holland (D10),5 days ago,Juniper At Ardmore,Orchard MRT,Newton,$8.83 psf,Condo Whole Unit,"$59,000/mo","6,683 sqft",Freehold,6 Bed Condo for Rent in Juniper At Ardmore,24.0,53 min,7 min,23 min,"3, 4, 6 BR",,,,,
,2 Baths,3 Beds,1989.0,,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),11 days ago,228 Choa Chu Kang Central,South View MRT,Choa Chu Kang,$3.31 psf,HDB,"$3,700/mo","1,119 sqft",,HDB Flat for Rent in 228 Choa Chu Kang Central,88.0,76 min,35 min,46 min,,3.0,,,,
,1 Bath,2 Beds,1974.0,HDB,Tanglin / Holland (D10),9 days ago,Farrer Gardens,Farrer Road MRT,Bukit Timah,$4.4 psf,HDB 3 Rooms,"$3,500/mo",796 sqft,99 Years,HDB Flat for Rent in 2 Queen's Road,,62 min,22 min,26 min,"Studio, 2, 3, 4, 5 BR",2.0,,,,
911 Lorong 1 Toa Payoh,3 Baths,3 Beds,1997.0,Winprime Investment Pte Ltd (Wing Tai Asia),Balestier / Toa Payoh (D12),12 days ago,Oleander Towers,Toa Payoh MRT,Toa Payoh,$4.52 psf,Apartment Whole Unit,"$5,200/mo","1,151 sqft",99 Years,3 Bed Condo for Rent in Oleander Towers,318.0,60 min,17 min,22 min,"2, 3, 4 BR",,,,,
9 Geylang East Avenue 1,2 Baths,3 Beds,2018.0,,Eunos / Geylang / Paya Lebar (D14),1 day ago,TRE Residences,Aljunied MRT,Geylang,$5.68 psf,Condo Whole Unit,"$4,890/mo",861 sqft,99 Years,3 Bed Condo for Rent in TRE Residences,250.0,,,,"Studio, 1, 2, 3, 4 BR",,Fully,,,
,2 Baths,3 Beds,1997.0,,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),7 days ago,175 Lompang Road,Petir MRT,Bukit Panjang,$2.85 psf,HDB,"$3,500/mo","1,230 sqft",,HDB Flat for Rent in 175 Lompang Road,144.0,71 min,25 min,38 min,,3.0,,,,
176A Orchard Road,1 Bath,1 Bed,1983.0,,Orchard / River Valley (D9),8 days ago,The Centrepoint,Somerset MRT,Orchard,$6.27 psf,Apartment Whole Unit,"$4,700/mo",750 sqft,99 Years,1 Bed Condo for Rent in The Centrepoint,66.0,,,,"Studio, 1, 2 BR",,,High,,
,6 Baths,7 Beds,,,Tanglin / Holland (D10),7 days ago,,7-bedroom for rent,,$4.4 psf,Bungalow,"$22,000/mo","5,500 sqft (built-up) / 5,000 sqft (land)",,7 Bed House for Rent in Duchess Avenue,,,,,,,,,,
6 Woodleigh Close,3 Baths,3 Beds,2012.0,Frasers Centrepoint Homes,Macpherson / Potong Pasir (D13),8 days ago,8 @ Woodleigh,Woodleigh MRT,Toa Payoh,$5.01 psf,Condo Whole Unit,"$5,500/mo","1,098 sqft",99 Years,3 Bed Condo for Rent in 8 @ Woodleigh,330.0,,,,"Studio, 1, 2, 3, 4 BR",,,,,
1 Fraser Street,2 Baths,2 Beds,2017.0,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),Beach Road / Bugis / Rochor (D7),4 days ago,Duo Residences / Duo Tower,Bugis MRT,None,$6.92 psf,Apartment Whole Unit,"$7,000/mo","1,012 sqft",99 Years,2 Bed Condo for Rent in Duo Residences / Duo Tower,660.0,50 min,20 min,12 min,"Studio, 1, 2, 3, 4 BR",,,,,
343 Upper Bukit Timah Road,2 Baths,3 Beds,2001.0,Bukitville Investment Pte Ltd (Hong Leong Holdings),Clementi Park / Upper Bukit Timah (D21),38 mins ago,The Hillside,3-bedroom for rent,Bukit Batok,$3.93 psf,Condo Whole Unit,"$5,500/mo","1,400 sqft",Freehold,3 Bed Condo for Rent in The Hillside,340.0,82 min,36 min,44 min,"2, 3 BR",,Partial,Mid,,
Rasok Drive,4 Baths,5 Beds,2009.0,Wan Fu Investments Pte Ltd,Admiralty / Woodlands (D25),1 month ago,Bukit Villas,5-bedroom for rent,None,$3.02 psf,Semi-Detached House,"$6,500/mo","2,852 sqft (built-up) / 2,155 sqft (land)",Freehold,5 Bed House for Rent in Bukit Villas,22.0,81 min,51 min,58 min,"4, 5, 6, 9 BR",,Partial,,,
51 Tampines Street 86,1 Bath,1 Bed,2021.0,City Developments Limited (CDL),Pasir Ris / Tampines (D18),10 days ago,The Tapestry,1-bedroom for rent,Tampines,$7.26 psf,Condo Whole Unit,"$3,200/mo",441 sqft,99 Years,1 Bed Condo for Rent in The Tapestry,861.0,40 min,50 min,47 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
1 Chwee Chian Road,3 Baths,3 Beds,1995.0,Far East Organization,Buona Vista / West Coast / Clementi (D5),4 days ago,Banyan Condominium,Pasir Panjang MRT,Queenstown,$2.83 psf,Condo Whole Unit,"$5,300/mo","1,873 sqft",Freehold,3 Bed Condo for Rent in Banyan Condominium,104.0,75 min,37 min,30 min,3 BR,,Partial,,,
,2 Baths,3 Beds,1985.0,,Boon Lay / Jurong / Tuas (D22),1 month ago,546 Jurong West Street 42,3-bedroom for rent,Jurong West,$3.25 psf,HDB,"$3,600/mo","1,109 sqft",,HDB Flat for Rent in 546 Jurong West Street 42,97.0,95 min,48 min,49 min,,3.0,,,,
,2 Baths,2 Beds,2001.0,HDB,Sembawang / Yishun (D27),3 days ago,Sun Trellis,Sembawang MRT,Sembawang,$2.5 psf,HDB,"$3,500/mo","1,400 sqft",99 Years,HDB Flat for Rent in 341A Sembawang Close,,56 min,36 min,41 min,"2, 3, 4, 6 BR",2.0,,,,
102 Grange Road,4 Baths,4 Beds,2011.0,,Tanglin / Holland (D10),9 days ago,Cliveden At Grange,Orchard MRT,River Valley,$7.04 psf,Condo Whole Unit,"$20,000/mo","2,842 sqft",Freehold,4 Bed Condo for Rent in Cliveden At Grange,110.0,,,,"3, 4, 5, 6 BR",,,,,
1 Lorong 5 Toa Payoh,1 Bath,2 Beds,2020.0,Gem Homes Pte Ltd,Balestier / Toa Payoh (D12),4 days ago,Gem Residences,Braddell MRT,Toa Payoh,$6.67 psf,Condo Whole Unit,"$3,800/mo",570 sqft,99 Years,2 Bed Condo for Rent in Gem Residences,578.0,65 min,20 min,26 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
Old Holland Road,9 Baths,9 Beds,,,Tanglin / Holland (D10),1 month ago,Brizay Park,King Albert Park MRT,Bukit Timah,$12.71 psf,Bungalow,"$150,000/mo","11,800 sqft (built-up)",-,9 Bed House for Rent in Brizay Park,,70 min,29 min,35 min,"3, 4, 5, 6, 7, 8, 9, 10 BR",,,,,
13A Toh Tuck Road,2 Baths,2 Beds,2017.0,,Clementi Park / Upper Bukit Timah (D21),1 hr ago,The Creek @ Bukit,Beauty World MRT,Bukit Timah,$5.29 psf,Condo Whole Unit,"$4,500/mo",850 sqft,Freehold,2 Bed Condo for Rent in The Creek @ Bukit,260.0,75 min,35 min,40 min,"1, 2, 3, 4 BR",,Partial,Ground,,West
71 Choa Chu Kang Loop,3 Baths,3 Beds,1998.0,Choa Chu Kang Land Ltd (Capitaland),Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),9 days ago,Northvale,Choa Chu Kang MRT,Choa Chu Kang,$3.25 psf,Apartment Whole Unit,"$4,300/mo","1,324 sqft",99 Years,3 Bed Condo for Rent in Northvale,762.0,73 min,34 min,42 min,"1, 2, 3, 4 BR",,Fully,,,
24 Bedok North Drive,1 Bath,1 Bed,2015.0,Brilliance Residential (1) Pte Ltd,Bedok / Upper East Coast (D16),7 days ago,Bedok Residences,Bedok MRT,Bedok,$6.77 psf,Condo Whole Unit,"$3,500/mo",517 sqft,99 Years,1 Bed Condo for Rent in Bedok Residences,583.0,31 min,32 min,24 min,"Studio, 1, 2, 3, 4 BR",,,,,
36 Dakota Crescent,4 Baths,4 Beds,2010.0,Ho Bee Group,Eunos / Geylang / Paya Lebar (D14),3 days ago,Dakota Residences,Dakota MRT,Geylang,$5.02 psf,Condo Whole Unit,"$9,500/mo","1,894 sqft",99 Years,4 Bed Condo for Rent in Dakota Residences,348.0,50 min,29 min,24 min,"1, 2, 3, 4 BR",,Fully,,,
706 Upper Changi Road East,3 Baths,2 Beds,1997.0,Allgreen Properties Ltd,Bedok / Upper East Coast (D16),1 day ago,Changi Court,Expo MRT,Tampines,$4.13 psf,Condo Whole Unit,"$4,000/mo",969 sqft,Freehold,2 Bed Condo for Rent in Changi Court,297.0,,,,"Studio, 1, 2, 3, 4 BR",,Fully,High,,
10 Anson Road,1 Bath,Studio,1976.0,International Associated Co. Pte Ltd,Chinatown / Tanjong Pagar (D2),4 days ago,International Plaza,Tanjong Pagar MRT,None,$8.12 psf,Apartment Whole Unit,"$3,500/mo",431 sqft,99 Years,Studio Condo for Rent in International Plaza,210.0,55 min,19 min,7 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
,2 Baths,2 Beds,1972.0,HDB,Balestier / Toa Payoh (D12),7 days ago,Toa Payoh Green,Toa Payoh MRT,Toa Payoh,$4.97 psf,HDB,"$3,100/mo",624 sqft,99 Years,HDB Flat for Rent in 163 Lorong 1 Toa Payoh,,60 min,17 min,22 min,"1, 2, 3, 4 BR",2.0,,,,
,2 Baths,3 Beds,1987.0,HDB,Sembawang / Yishun (D27),9 days ago,Nee Soon Central Meadows,Khatib MRT,Yishun,$3.05 psf,HDB,"$4,000/mo","1,313 sqft",99 Years,HDB Flat for Rent in 602 Yishun Street 61,,,,,"2, 3, 4, 5 BR",3.0,,,,
,2 Baths,3 Beds,2006.0,HDB,Hougang / Punggol / Sengkang (D19),1 month ago,Compassvale Arcadia,Ranggung MRT,Sengkang,$2.7 psf,HDB 5 Rooms,"$3,200/mo","1,184 sqft",99 Years,HDB Flat for Rent in 269B Compassvale Link,,45 min,39 min,39 min,"1, 2, 3 BR",3.0,,,,
18 Simei Rise,4 Baths,4 Beds,2004.0,City Developments Limited,Pasir Ris / Tampines (D18),2 days ago,Changi Rise Condominium,Simei MRT,Tampines,$3.68 psf,Condo Whole Unit,"$5,500/mo","1,496 sqft",99 Years,4 Bed Condo for Rent in Changi Rise Condominium,598.0,26 min,51 min,43 min,"Studio, 2, 3, 4, 5 BR",,,High,,
916 Sims Avenue,1 Bath,1 Bed,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),10 days ago,Parc Esta,Eunos MRT,Geylang,$7.21 psf,Condo Whole Unit,"$3,800/mo",527 sqft,99 Years,1 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
1 Fraser Street,2 Baths,2 Beds,2017.0,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),Beach Road / Bugis / Rochor (D7),seconds ago,Duo Residences / Duo Tower,Bugis MRT,None,$7.47 psf,Apartment Whole Unit,"$7,000/mo",937 sqft,99 Years,2 Bed Condo for Rent in Duo Residences / Duo Tower,660.0,,,,"Studio, 1, 2, 3, 4 BR",,,,,
581A Upper Changi Road,3 Baths,4 Beds,,,Bedok / Upper East Coast (D16),17 days ago,Apollo Gardens,Expo MRT,Tampines,$3.26 psf,Walk-up Whole Unit,"$6,000/mo","1,840 sqft",-,4 Bed Condo for Rent in Apollo Gardens,,26 min,47 min,39 min,"1, 3, 4, 5 BR",,Fully,High,Greenery view,
51 Tampines Street 86,1 Bath,1 Bed,2021.0,City Developments Limited (CDL),Pasir Ris / Tampines (D18),7 days ago,The Tapestry,1-bedroom for rent,Tampines,$5.8 psf,Condo Whole Unit,"$3,500/mo",603 sqft,99 Years,1 Bed Condo for Rent in The Tapestry,861.0,,,,"Studio, 1, 2, 3, 4, 5 BR",,,,,
2 Marina Boulevard,2 Baths,3 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),15 days ago,The Sail @ Marina Bay,Downtown MRT,None,$6.76 psf,Condo Whole Unit,"$8,000/mo","1,184 sqft",99 Years,3 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
4 Simei Rise,3 Baths,3 Beds,2004.0,City Developments Limited,Pasir Ris / Tampines (D18),2 days ago,Changi Rise Condominium,Simei MRT,Tampines,$3.73 psf,Condo Whole Unit,"$5,500/mo","1,475 sqft",99 Years,3 Bed Condo for Rent in Changi Rise Condominium,598.0,26 min,51 min,43 min,"Studio, 2, 3, 4, 5 BR",,Unfurnished,,,
11C Balmoral Road,4 Baths,4 Beds,2013.0,Tg Developments,Tanglin / Holland (D10),3 days ago,The Oliv,Newton MRT,Tanglin,$7.2 psf,Condo Whole Unit,"$39,000/mo","5,414 sqft",Freehold,4 Bed Condo for Rent in The Oliv,23.0,59 min,12 min,22 min,"Studio, 3, 4, 5, 7 BR",,Unfurnished,,,
906 Sims Avenue,1 Bath,2 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),2 days ago,Parc Esta,Eunos MRT,Geylang,$7.4 psf,Condo Whole Unit,"$4,699/mo",635 sqft,99 Years,2 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,Partial,High,,South
,2 Baths,2 Beds,1987.0,HDB,Hougang / Punggol / Sengkang (D19),14 days ago,Hougang Spring,Hougang MRT,Hougang,$4.14 psf,HDB,"$3,300/mo",797 sqft,99 Years,HDB Flat for Rent in 688 Hougang Street 61,,48 min,42 min,47 min,"Studio, 2, 3, 4 BR",2.0,,,,
7 Ardmore Park,4 Baths,4 Beds,2013.0,Irvine Investments Private Ltd,Tanglin / Holland (D10),4 hrs ago,Ardmore Residence,Orchard MRT,Newton,$14.12 psf,Condo Whole Unit,"$45,000/mo","3,186 sqft",Freehold,4 Bed Condo for Rent in Ardmore Residence,58.0,55 min,12 min,25 min,"3, 4 BR",,Partial,High,City view,
371 Beach Road,1 Bath,Studio,2019.0,Bayfront Ventures Pte Ltd,Beach Road / Bugis / Rochor (D7),1 month ago,City Gate,Nicoll Highway MRT,Kallang,$12.17 psf,Apartment Whole Unit,"$2,800/mo",230 sqft,99 Years,Studio Condo for Rent in City Gate,311.0,,,,"Studio, 1, 2, 3, 4 BR",,,,,
10 Jelebu Road,2 Baths,2 Beds,2018.0,Sim Lian Jv (Bp Retail) Pte Ltd,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),4 days ago,Hillion Residences / Hillion Mall,Bukit Panjang MRT,Bukit Panjang,$5.63 psf,Apartment Whole Unit,"$4,000/mo",710 sqft,99 Years,2 Bed Condo for Rent in Hillion Residences / Hillion Mall,546.0,72 min,31 min,37 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
2 Whampoa East,2 Baths,2 Beds,2016.0,Ue Development (Bendemeer) Pte Ltd,Balestier / Toa Payoh (D12),6 days ago,Eight Riversuites,Boon Keng MRT,Kallang,$6 psf,Condo Whole Unit,"$4,200/mo",700 sqft,99 Years,2 Bed Condo for Rent in Eight Riversuites,862.0,47 min,23 min,22 min,"1, 2, 3, 4 BR",,,,,
80 Punggol Central,3 Baths,3 Beds,2016.0,Wee Hur Holdings,Hougang / Punggol / Sengkang (D19),4 days ago,Parc Centros,Punggol MRT,Punggol,$4.21 psf,Condo Whole Unit,"$4,800/mo","1,141 sqft",99 Years,3 Bed Condo for Rent in Parc Centros,618.0,44 min,37 min,37 min,"1, 2, 3, 4, 6 BR",,,,,
5 Mount Emily Road,1 Bath,1 Bed,2008.0,City Developments Ltd,Orchard / River Valley (D9),9 days ago,Parc Emily,Little India MRT,None,$6.42 psf,Condo Whole Unit,"$3,800/mo",592 sqft,Freehold,1 Bed Condo for Rent in Parc Emily,295.0,,,,"Studio, 1, 2, 3, 5 BR",,Partial,,,
3 Lorong 41 Geylang,2 Baths,3 Beds,2014.0,,Eunos / Geylang / Paya Lebar (D14),2 days ago,Lotus at Paya Lebar (West Wing),Paya Lebar MRT,Geylang,$4.26 psf,Condo Whole Unit,"$10,560/mo","2,476 sqft",Freehold,3 Bed Condo for Rent in Lotus at Paya Lebar (West Wing),47.0,44 min,28 min,20 min,"Studio, 1, 2, 3, 4 BR",,Partial,Ground,Greenery view,West
586 Yio Chu Kang Road,2 Baths,3 Beds,1984.0,Thomson Hill Ltd (Far East Organization),Mandai / Upper Thomson (D26),3 days ago,Thomson Grove,3-bedroom for rent,Ang Mo Kio,$4.17 psf,Condo Whole Unit,"$6,200/mo","1,486 sqft",Freehold,3 Bed Condo for Rent in Thomson Grove,116.0,59 min,38 min,43 min,3 BR,,,,,
,2 Baths,3 Beds,2016.0,HDB,Seletar / Yio Chu Kang (D28),9 days ago,Fernvale Riverbow,Layar MRT,Sengkang,$3.3 psf,HDB,"$3,300/mo","1,000 sqft",99 Years,HDB Flat for Rent in 415C Fernvale Link,727.0,,,,"1, 2, 3, 4 BR",3.0,,,,
36 Ah Hood Road,1 Bath,1 Bed,2012.0,Springlife Land Pte Ltd,Balestier / Toa Payoh (D12),7 days ago,Casa Fortuna,Toa Payoh MRT,Novena,$2.67 psf,Condo Whole Unit,"$3,300/mo","1,237 sqft",Freehold,1 Bed Condo for Rent in Casa Fortuna,106.0,66 min,18 min,24 min,"1, 2 BR",,,,,
921 Bukit Timah Road,3 Baths,2 Beds,2011.0,Boonridge Pte Ltd,Clementi Park / Upper Bukit Timah (D21),10 days ago,The Cascadia,King Albert Park MRT,Bukit Timah,$5.25 psf,Condo Whole Unit,"$5,200/mo",990 sqft,Freehold,2 Bed Condo for Rent in The Cascadia,536.0,68 min,27 min,33 min,"Studio, 1, 2, 3, 4, 5 BR",,Fully,,,
5 Rodyk Street,2 Baths,2 Beds,2008.0,Hong Leong Holdings Ltd,Orchard / River Valley (D9),3 hrs ago,Watermark Robertson Quay,Chinatown MRT,None,$6.19 psf,Condo Whole Unit,"$7,000/mo","1,130 sqft",Freehold,2 Bed Condo for Rent in Watermark Robertson Quay,206.0,65 min,25 min,23 min,"2, 3, 4 BR",,Partial,Low,,West
Ford Avenue,3 Baths,4 Beds,2009.0,Hoi Hup Realty Pte Ltd,Tanglin / Holland (D10),8 days ago,The Ford @ Holland,Holland Village MRT,Bukit Timah,$4.55 psf,Cluster House,"$15,000/mo","3,294 sqft (built-up)",Freehold,4 Bed House for Rent in The Ford @ Holland,85.0,68 min,21 min,28 min,"1, 2, 3, 4, 6 BR",,,,,
3 Cuscaden Walk,2 Baths,2 Beds,2021.0,SL Capital (2) Pte Ltd (A consortium led by Sustained Land),Tanglin / Holland (D10),16 days ago,3 Cuscaden,2-bedroom for rent,River Valley,$8.2 psf,Condo Whole Unit,"$6,000/mo",732 sqft,Freehold,2 Bed Condo for Rent in 3 Cuscaden,96.0,53 min,5 min,15 min,"1, 2, 3, 4 BR",,,,,
916 Sims Avenue,3 Baths,4 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),23 days ago,Parc Esta,Eunos MRT,Geylang,$6.52 psf,Condo Whole Unit,"$8,000/mo","1,227 sqft",99 Years,4 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
23 Marina Way,1 Bath,1 Bed,2018.0,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,Boat Quay / Raffles Place / Marina (D1),3 days ago,Marina One Residences,Marina Bay MRT,None,$9.96 psf,Condo Whole Unit,"$6,750/mo",678 sqft,99 Years,1 Bed Condo for Rent in Marina One Residences,1042.0,50 min,16 min,8 min,"Studio, 1, 2, 3, 4, 5, 6 BR",,Fully,,,
21 Marina Way,2 Baths,2 Beds,2018.0,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,Boat Quay / Raffles Place / Marina (D1),4 days ago,Marina One Residences,Marina Bay MRT,None,$7.41 psf,Condo Whole Unit,"$8,300/mo","1,120 sqft",99 Years,2 Bed Condo for Rent in Marina One Residences,1042.0,50 min,16 min,8 min,"Studio, 1, 2, 3, 4, 5, 6 BR",,,,,
6 Marina Boulevard,4 Baths,4 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),2 days ago,The Sail @ Marina Bay,Downtown MRT,None,$6.27 psf,Condo Whole Unit,"$13,800/mo","2,200 sqft",99 Years,4 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
